Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,EP,XC,CP,SQ,DH,AZ,NI,TP,BQ,LG,RO,KI,AG,XA,QA,AT,GR,YP,CC,IF,OD,KK,DR,LS,MG,AO,RG,ZP,HP
2026-07-13,103.0,106.0,100.0,104.0,2770500,-0.0,-0.0114,0.002,0.0,-0.0015,-0.0104,-0.0,0.0008,-0.0007,0.0,0.0051,0.0,0.0,0.1427,0.0,0.0003,0.0,-0.106,0.0,0.0227,0.0,-0.0065,0.0174,0.0,-0.0491,0.0,0.0,0.0,0.0,-0.0001,-0.0043,0.0,-0.001
2026-07-14,104.0,105.0,100.0,104.0,407300,-0.0,-0.0048,0.0001,0.0,0.0,0.0003,-0.0,0.0,0.0,-0.0,-0.0078,0.0,0.0,-0.0021,0.0,0.0,0.0,0.0184,0.0002,-0.0001,0.0,-0.0062,-0.0002,0.0,0.0023,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,107.0,111.0,104.0,104.0,11889500,0.0001,0.0019,0.0008,0.0,0.076,-0.009,0.0428,-0.0072,0.0,0.0,-0.002,0.455,0.0006,-0.1411,-0.0001,-0.0002,0.0,-0.245,-0.0002,-0.1456,0.0083,-0.004,0.0259,-0.0001,-0.0345,-0.0191,0.0016,0.0,0.0049,-0.0043,-0.0041,-0.0011,0.0
2026-07-16,108.0,112.0,106.0,107.0,1740300,0.0109,0.0109,0.0045,0.0,-0.0001,-0.0552,-0.0042,0.0,0.0004,0.0,0.0013,0.0,0.0,0.0,0.0,-0.0001,0.0002,0.0799,0.0,-0.0012,0.0036,-0.0125,-0.0112,0.0011,0.0,-0.0175,-0.0003,-0.0106,0.0,0.0,0.0,0.0,0.0
2026-07-17,109.0,111.0,105.0,108.0,6104800,0.0001,-0.0488,0.0041,0.0051,-0.0792,-0.0498,-0.0392,-0.002,0.0,-0.0,-0.0003,0.0001,0.0011,0.4189,0.006,-0.0001,0.0164,-0.11,0.0,-0.1061,-0.0055,-0.0162,0.0285,-0.0011,-0.0035,-0.017,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,110.0,112.0,110.0,110.0,1385500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,114.0,114.0,110.0,110.0,1204800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,115.0,115.0,111.0,114.0,5331800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,114.0,115.0,113.0,115.0,867000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,108.0,115.0,100.0,114.0,1578300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
