Date,Close,High,Low,Open,Volume,OD,GR,XL,DR,CC,YP,PD,NI,AT,XC,SQ,AZ,CP,EP,KK,RO
2026-07-13,805.0,805.0,770.0,795.0,41000,0.0,0.0011,-0.0013,0.0043,0.0013,0.0012,-0.0066,0.0001,0.0011,-0.0008,-0.0004,-0.0,0.0,0.0,0.0,0.0
2026-07-14,850.0,850.0,790.0,805.0,45200,0.0,0.0,0.0084,0.0,-0.0012,-0.0059,0.0047,0.0001,0.0,-0.004,-0.0004,0.0,-0.0008,0.0,-0.0009,0.0
2026-07-15,850.0,880.0,835.0,850.0,87900,-0.0001,0.0,-0.0116,0.0169,0.0024,-0.0101,-0.0004,-0.004,0.0,0.0015,0.0,0.0,0.0021,-0.0044,0.0069,0.0008
2026-07-16,840.0,870.0,825.0,850.0,60300,-0.0067,0.0,-0.0209,0.0032,0.0015,0.0019,0.0204,0.0001,0.0,-0.002,0.0017,0.0008,0.0,0.0,0.0,0.0
2026-07-17,845.0,845.0,800.0,825.0,74500,-0.0064,0.004,-0.0137,0.0397,-0.0017,-0.0072,-0.0135,0.0001,-0.0001,0.0006,-0.0019,0.0,0.0,0.0,0.0,0.0
2026-07-20,850.0,875.0,815.0,830.0,1744900,,,,,,,,,,,,,,,,
2026-07-21,855.0,860.0,810.0,850.0,227000,,,,,,,,,,,,,,,,
2026-07-22,845.0,855.0,830.0,855.0,16300,,,,,,,,,,,,,,,,
2026-07-23,845.0,860.0,835.0,850.0,107600,,,,,,,,,,,,,,,,
2026-07-24,850.0,850.0,830.0,840.0,50100,,,,,,,,,,,,,,,,
