Date,Close,High,Low,Open,Volume,XL,PD,YU,EP,XC,SQ,CP,MG,CD,DH,AZ,PC,MI,NI,BQ,RO,AG,XA,QA,AT,YB,FZ,GR,YP,BF,CC,IF,OD,KK,DR
2026-07-13,135.0,135.0,134.0,134.0,1600,-0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,133.0,136.0,133.0,136.0,33000,-0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,134.0,140.0,134.0,140.0,19900,0.0015,-0.0,0.0,0.0,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0,-0.0,0.0,0.0,0.0008,0.0
2026-07-16,136.0,140.0,134.0,134.0,10900,-0.0003,0.0,0.0,0.0,-0.0001,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0001,0.0,-0.0,0.0,0.0,0.0,-0.0002
2026-07-17,138.0,165.0,137.0,140.0,6784400,0.0674,-0.0201,-0.0005,-0.0064,-0.0001,0.0042,0.0,-0.0063,0.0,0.0024,-0.0034,0.0,0.0,0.0065,-0.0006,-0.0007,-0.0,0.0003,0.0,0.0003,0.0001,0.0,-0.0007,0.0024,-0.003,-0.038,0.0003,0.0011,0.0029,-0.0083
2026-07-20,138.0,144.0,135.0,141.0,344200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,142.0,144.0,138.0,138.0,84200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,140.0,150.0,138.0,142.0,128900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,140.0,142.0,138.0,142.0,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,140.0,142.0,140.0,140.0,91900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
