Date,Close,High,Low,Open,Volume,XC,YU,LG,IH,XA,AZ,PC,AT,AK,EP,YP,DH,CC,YB,NI,BQ,IC,PD,HD,SQ,KK,CP,ZP,KI,AG,DX,BK,XL,SH,OD,MG,TP,IF,AO,BR,GR,DU,HP,RO,DR,IU,QA,LS,FZ,YJ,FS,AI,CD
2026-07-13,620.0,635.0,610.0,630.0,11988200,0.0186,0.0,0.0015,0.9825,-2.6,0.0289,-0.7739,0.0198,0.9511,0.0848,-0.1932,0.0,-0.2279,0.0134,0.0021,-0.0522,0.0186,-0.0009,-0.0161,0.012,0.0186,0.0141,-0.6538,0.0,0.0062,0.0,0.0332,-0.0018,1.4,0.0203,0.0,0.2837,0.0,0.4923,0.1354,0.0094,0.0,-0.0022,0.0,-0.0004,0.0026,-0.0012,0.0,0.0,0.0,0.0,-0.0004,-0.0001
2026-07-14,645.0,650.0,610.0,620.0,28197200,-0.0877,0.0,0.0,0.5884,-3.7,-1.3,1.6,0.3805,0.2196,1.2,-0.151,0.0,0.1303,-0.0151,-0.0075,0.0012,0.0899,0.0023,-0.0039,-0.0281,0.0091,-0.028,-0.0299,-0.0206,1.3,0.0,0.8158,-0.5812,-0.1095,-0.0813,-0.9495,-0.1078,0.0,-1.1,2.0,-0.0013,-0.1134,-0.0316,-0.0029,-0.0037,0.0,-0.0014,0.0,0.0,-0.0006,-0.0051,0.0,0.0
2026-07-15,650.0,650.0,625.0,645.0,19181300,-0.0883,0.0,-0.0,-0.9675,0.3333,-0.0001,1.1,0.1032,-0.5166,-1.2,-0.0877,0.0,-1.3,-0.0163,0.011,-0.0089,0.4004,-0.0489,0.0523,-0.0221,-0.8997,-0.0,-0.0523,-0.0001,0.01,0.0102,-0.0003,-0.1214,0.2057,-0.0223,2.4,-0.1749,-0.0002,0.6636,1.1,0.0048,0.129,0.0,-0.0003,-0.1642,0.0,0.0,-0.9082,0.0,0.0,0.0,0.0,0.0
2026-07-16,680.0,685.0,650.0,650.0,27580600,-0.2588,-0.0001,0.7413,0.0702,0.2263,-0.0077,1.2,0.1282,-1.7,-0.7987,0.0055,-0.0014,0.4625,0.1606,-0.0157,0.0017,-0.4272,-0.1169,0.1489,0.0212,-0.126,0.0,-0.0068,0.0003,-0.7748,-0.0107,-0.1892,-0.8261,0.5327,-0.0137,0.7492,-0.0081,0.0,-0.4025,1.3,-0.0037,0.1246,0.0054,-0.0001,0.037,-0.2167,-500.0,0.0665,-0.0002,0.0,0.0,0.0,0.0
2026-07-17,720.0,725.0,680.0,680.0,53815400,-0.0051,0.6671,-0.3602,1.1,1.5,-0.038,1.8,-1.0,-0.3407,-1.8,0.0158,-0.0501,-2.9,-0.0679,-0.1373,-0.0073,0.0994,0.1238,0.0172,-0.0179,-0.1642,-0.012,1.4,-0.1018,-1.1,0.0,-0.7063,0.4614,1.5,-0.1207,-0.9901,-0.2115,-0.0035,1.8,-0.3921,-0.0144,0.3033,-0.0089,0.0002,-0.0365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,800.0,810.0,720.0,720.0,87834100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,740.0,850.0,720.0,835.0,63532100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,740.0,750.0,710.0,745.0,24730600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,765.0,775.0,720.0,740.0,37470300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,755.0,765.0,715.0,765.0,32014000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
