Date,Close,High,Low,Open,Volume,XC,YJ,LG,KK,CP,PC,ZP,KI,EP,AI,XL,YP,DH,CC,MG,BQ,NI,PD,DR,SQ,TP,XA,IF,OD,QA,AT,YU,AK,GI,YB,GR,AZ,HD
2026-07-13,186.0,220.0,179.0,179.0,5080400,0.0147,-0.0271,-0.0002,0.022,-0.0014,-0.0,0.0,0.0006,-0.0003,-0.0003,0.0174,-0.0355,-0.0006,0.0193,0.0088,0.0089,0.0008,-0.0,-0.0324,0.0001,0.0,0.0,0.0001,-0.0,0.0,-0.0,0.0,-0.0,0.0009,-0.0001,0.0028,0.001,0.0005
2026-07-14,185.0,204.0,184.0,189.0,1120900,0.0006,0.0057,-0.0,0.0164,0.0006,0.0,0.0,0.0,0.0059,-0.0001,-0.0136,0.0009,0.0,0.0019,-0.01,-0.0016,0.0,-0.0061,0.0,0.0015,0.0009,0.0,0.0,-0.0001,0.0,0.0,0.001,-0.0002,-0.0009,0.0,-0.0028,0.0,0.0
2026-07-15,188.0,190.0,182.0,186.0,296600,-0.0061,0.0071,0.0,-0.0009,-0.0011,0.0,0.0,0.0,-0.0056,0.0,0.0072,0.0089,0.0001,0.0046,-0.0004,0.0,-0.0001,0.0005,0.0009,0.0,0.0004,0.0,0.0,-0.015,-0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,187.0,190.0,184.0,185.0,111600,-0.0154,0.0074,0.0,-0.0002,0.0009,0.0,0.0,0.0,0.0,0.0,0.0027,0.0014,0.0,0.0001,0.0017,0.0,0.0,0.0024,0.0,-0.0008,-0.0018,-500.0,-0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,188.0,200.0,184.0,185.0,847100,-0.0006,-0.023,-0.0,-0.0127,0.0014,0.0,0.0,-0.0001,0.0369,-0.0001,-0.0179,0.0039,-0.0009,-0.0091,0.0118,0.0084,-0.0,0.002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,194.0,200.0,189.0,195.0,687000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,192.0,197.0,190.0,194.0,246200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,194.0,204.0,192.0,192.0,384300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,197.0,199.0,192.0,196.0,170100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,193.0,232.0,192.0,197.0,9911400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
