Date,Close,High,Low,Open,Volume,AK,BK,NI,HD,PD,OD,BQ,IF,AZ,KK,YP,GR,XC,CC,XL,YU,CP,SQ,LG,DH,BB,DX,RO,IN,ZR,AT,ZP,EP
2026-07-13,900.0,905.0,895.0,900.0,134100,-0.0009,0.0,0.0012,-0.0009,0.001,0.0,0.0,0.0,-0.0023,0.0004,-0.0111,0.0,-0.0004,0.061,-0.0052,-0.0272,0.0,0.0,0.0,0.0001,0.0361,-0.05,0.0,0.0107,0.0,0.0,0.0,-0.0123
2026-07-14,925.0,925.0,895.0,900.0,582800,-0.0352,0.0,-0.0002,-0.0,0.009,0.0,-0.0011,0.0,-0.0005,-0.0124,-0.0005,0.0,0.0004,0.2894,-0.058,-0.1233,-0.0029,-0.0001,0.0,0.0003,0.1047,-0.0565,-0.0184,0.0154,0.0005,-0.0024,-0.1083,0.0
2026-07-15,930.0,935.0,900.0,930.0,825700,-0.0572,0.0,0.0008,0.0003,-0.4045,0.0005,0.0,0.0,0.0009,0.0058,0.0013,0.0,0.0088,0.0535,-0.0203,-0.1632,0.0,0.0,0.0,0.0,0.6072,-0.034,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,930.0,935.0,910.0,935.0,289200,0.0027,0.0,0.0026,-0.0001,0.0313,0.0032,0.0002,0.0014,-0.0009,0.0256,0.0021,-0.092,-0.0022,0.1295,-0.0763,-0.0605,0.0,-0.0009,0.0013,0.0001,0.0371,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,920.0,930.0,915.0,930.0,138800,0.0019,-0.0835,0.0097,-0.0002,0.0093,0.0037,0.0005,0.0004,0.0004,0.0002,0.009,-0.0082,0.0027,0.0475,0.029,-0.0228,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,900.0,925.0,890.0,925.0,2355200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,910.0,915.0,900.0,905.0,251100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,910.0,930.0,900.0,910.0,395800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,910.0,945.0,910.0,920.0,319200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,905.0,920.0,900.0,910.0,302300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
