Date,Close,High,Low,Open,Volume,XC,TP,LG,IH,CP,PD,AI,XL,YP,CC,FZ,DR,EL,YJ,YB,OD,YU,BQ,SQ,RO,AT,BR,GR,AR
2026-07-13,183.0,185.0,182.0,182.0,526300,0.0,0.0,0.0,-0.0421,-0.0461,-300.0,0.0277,-0.0032,0.0,-0.0002,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0604
2026-07-14,183.0,184.0,178.0,183.0,575000,0.0029,0.0,0.0,-0.0346,-0.0601,0.0024,0.0333,0.0051,-0.0002,0.0029,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,-0.0035,0.0,0.0,0.0499,0.0001,0.0
2026-07-15,182.0,185.0,180.0,185.0,514600,0.0001,0.0,-0.0001,0.0218,-0.0525,0.0,0.0275,0.0017,0.0002,-0.0001,0.0,-900.0,0.0,0.0,0.0,0.0,0.001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,181.0,185.0,180.0,184.0,613100,-0.0003,0.0,0.0001,0.0,-0.0535,-0.0,0.0318,0.006,-0.005,0.0,0.0,0.0,0.0598,-0.0434,0.0104,-0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,180.0,182.0,179.0,181.0,617600,600.0,0.0,0.0001,-0.0454,-0.0584,0.0002,0.0365,0.0031,0.0008,0.0033,0.0598,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,179.0,180.0,178.0,180.0,754900,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,177.0,183.0,177.0,183.0,808400,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,178.0,183.0,176.0,182.0,1166100,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,180.0,184.0,173.0,181.0,1528500,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,180.0,197.0,178.0,183.0,1418900,,,,,,,,,,,,,,,,,,,,,,,,
