Date,Close,High,Low,Open,Volume,XC,SQ,LG,AZ,XA,KK,CP,ZP,AT,KI,OD,EP,XL,YP,DH,CC,MG,YB,NI,IF,JB,BQ,PD,DR,RO,TP,CD,QA,GR,IN,HP,AG,AO,YU
2026-07-13,52.0,53.0,52.0,53.0,5531700,0.0004,0.001,0.0,0.0021,-0.0269,-0.0006,0.0104,0.0,-0.0,-100.0,0.033,0.0065,-0.0229,0.013,0.0,-0.0014,-0.0278,0.0031,0.0031,0.0,0.0,-0.0006,0.0043,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002
2026-07-14,53.0,54.0,52.0,52.0,7226400,-0.0091,-0.0002,0.0011,-0.0002,-0.006,0.0014,0.0056,0.0,0.0026,0.0003,-0.0004,-0.0033,-0.0111,0.0196,0.0,-0.0375,-0.0028,-0.0006,-0.0018,0.0,0.0,0.0066,-0.0111,0.0494,-0.0,-0.0007,0.0,-0.0001,-0.0003,0.0,0.0001,-0.0015,-0.0,0.0
2026-07-15,53.0,54.0,52.0,52.0,5986600,-0.007,0.0169,0.0,0.0,0.0107,0.0,0.008,0.0,0.0001,0.0,0.0,0.0012,-0.039,0.0097,0.0,0.0285,-0.0081,0.0202,-0.064,0.0002,0.0005,0.0,0.0088,0.0159,-0.0005,0.0,0.0001,0.0,-0.0034,-300.0,0.0011,0.0,0.0,0.0
2026-07-16,53.0,53.0,52.0,53.0,8194600,-0.0288,0.0086,0.0002,0.0,0.0375,0.0005,0.0023,0.0,-0.0005,0.0,-0.169,-0.0062,-0.014,0.0191,0.0,0.0485,0.0106,0.0057,-0.0252,0.0,0.0,0.0001,0.0104,0.0983,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,52.0,53.0,52.0,53.0,4429700,0.0623,-0.0213,0.0,0.0021,0.0,0.0056,0.0005,0.0,-0.0118,-0.0043,0.002,-0.0002,-0.0978,0.003,0.0024,0.023,-0.0002,-0.0027,0.0036,100.0,0.0,-0.0102,0.0382,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,53.0,56.0,52.0,52.0,24873200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,54.0,55.0,53.0,55.0,7958700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,54.0,55.0,53.0,54.0,5774100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,53.0,54.0,50.0,53.0,48198400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,52.0,53.0,51.0,52.0,6735000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
