Date,Close,High,Low,Open,Volume,GR,PD,IF,XL,XA,CC,YP,KI,AO,KK,AG,SH,XC,SQ,TP,OD,AK,NI,AZ,YB,ZP,HD,MG,CP,DR,EP,DX,QA,BK,YJ,DH,AT,HP,TF,BQ,LG,BR
2026-07-13,620.0,640.0,615.0,640.0,2316500,0.0667,0.008,0.2869,-0.2693,0.0886,-0.4276,0.0696,0.0003,-0.031,0.0636,0.0,0.0,-0.0686,-0.0013,0.0,-0.0041,-0.0169,0.0866,0.1173,0.0334,-0.0559,-0.0021,0.0002,0.0124,0.0,-0.0036,0.001,0.0001,0.0,-0.0125,0.0,0.0184,0.0,0.0,-0.0039,-0.0002,0.0439
2026-07-14,615.0,620.0,605.0,620.0,4845100,-0.0708,-0.1936,0.255,0.3464,-0.2936,0.0847,0.0136,0.0012,0.0612,-0.0811,0.0305,-0.5162,-0.0877,0.0008,0.0348,-0.006,0.0247,-0.0492,0.5465,-0.0678,0.0,0.0044,0.0001,0.01,0.0,-0.0004,0.0,-0.0018,0.006,-0.0611,0.0,0.01,-0.0006,-0.0001,0.0,0.0,0.0
2026-07-15,615.0,620.0,610.0,615.0,4323400,-0.0018,-0.1333,0.1965,0.7356,-0.3553,-0.0006,-0.0319,0.0002,-0.1262,-0.0061,-0.0054,-0.6131,-0.0328,0.0,0.0,0.0,0.3889,-0.0168,0.1088,0.0012,0.0,0.0,-0.061,0.0,0.0001,-0.0009,0.0,0.0,0.0,-0.0185,-0.0279,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,625.0,630.0,615.0,615.0,3168000,0.0698,0.012,0.1771,0.0057,0.0386,0.1264,0.1524,0.0,-0.1098,0.0,0.0,-0.0007,-0.2103,-0.0034,0.0,0.0006,0.0022,-0.0334,-0.361,0.0758,-0.0017,-0.0035,0.0005,0.0005,0.0044,-0.0124,0.0011,0.0103,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,615.0,625.0,615.0,625.0,2430700,0.0556,0.017,0.1446,0.0004,0.0319,-0.1116,-0.1529,0.0015,-0.1441,0.0431,-0.031,-0.0013,0.0082,0.0116,0.0001,0.0062,-0.0794,-0.0056,0.1333,0.0609,0.0053,0.0001,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,605.0,615.0,605.0,615.0,2114500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,610.0,615.0,605.0,605.0,3405000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,595.0,615.0,585.0,610.0,3271300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,605.0,605.0,590.0,595.0,2291500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,595.0,605.0,595.0,605.0,1873100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
