Date,Close,High,Low,Open,Volume,TP,OD,QA,PD,XL,YP,CC,AK,NI,KK,PC,RO,XC,SQ,CP,DR,EP,FS,DX,LS,YB,ZP,YU,AZ,BQ,LG,XA,DH,II,MG
2026-07-13,248.0,258.0,234.0,252.0,288700,0.0005,0.0004,0.0,-0.0015,-0.0002,-0.0026,-0.0111,-0.0032,0.0014,0.0052,0.0,0.0001,0.0022,0.0012,0.0,0.0,0.0,0.0005,0.0001,0.0002,0.0,0.0005,0.0,0.0,0.0,0.0012,0.005,0.0001,-0.0,-0.0
2026-07-14,252.0,254.0,246.0,250.0,68100,-0.0005,0.0023,0.0,0.0002,-0.0061,-0.0012,0.0015,-0.0001,-0.0011,-0.0016,0.0,0.0,0.0009,-0.0001,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,-0.0005,0.0,0.0066,0.0,0.0,0.0001,-0.0001,0.0,0.0
2026-07-15,256.0,256.0,248.0,252.0,116400,0.0,0.0006,0.0,0.0001,-0.0052,0.003,0.0059,-0.0032,0.0001,-0.0031,0.0,0.0,-0.0024,0.0004,0.0006,0.0025,-0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,-0.0003,-0.0013,0.0,0.0,0.0,0.0
2026-07-16,258.0,274.0,250.0,258.0,158100,-0.0005,0.0009,0.0001,-0.0007,-0.0029,0.0056,0.01,-0.0022,-0.0024,-0.0017,0.0,0.0005,-0.0024,-0.0002,0.0015,0.0003,-0.004,-0.0005,-0.0015,0.0003,0.0005,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,256.0,260.0,252.0,258.0,50100,0.0,0.0006,-0.0001,0.0003,-0.0049,0.0026,-0.0026,-0.0,0.0005,-0.0002,0.0001,-0.0005,0.002,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,262.0,264.0,258.0,260.0,84400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,254.0,262.0,252.0,262.0,204700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,260.0,276.0,250.0,260.0,243400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,256.0,260.0,256.0,260.0,59600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,254.0,262.0,252.0,256.0,65400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
