Date,Close,High,Low,Open,Volume,MG,XC,AZ,XA,KK,NI,BQ,DR,OD,EP,XL,YP,DH,CC,PD,HP,SQ,CP,AT,AG,GR,YJ,LG,ZP,AI,YB,IF,QA
2026-07-13,38.0,39.0,38.0,39.0,2468400,0.0,-0.001,0.0,0.0,0.0,0.0444,0.0,0.0,0.0,0.0,-0.0271,-0.0048,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0126,0.0,-0.0005
2026-07-14,40.0,40.0,38.0,38.0,3202800,0.0,0.0162,0.0,0.0,-0.0086,0.0173,-0.0014,-0.0029,0.0001,0.0002,0.0228,-0.0284,0.0001,-0.0118,0.0004,0.0,0.0,0.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,44.0,44.0,44.0,44.0,16079300,0.0,-0.0344,0.0,0.0132,-0.0211,-0.0021,0.0001,-0.1624,-0.0504,-0.0009,0.2633,-0.0244,-0.0002,-0.0414,-0.0025,0.0,0.0074,-0.0081,-0.0006,-0.0002,-0.0097,0.0634,-0.0,-0.0004,-0.0004,0.0176,-0.0057,0.0
2026-07-16,40.0,42.0,40.0,42.0,7879600,0.0124,0.0072,0.0208,-0.0104,0.0,0.0155,0.0002,-0.0346,0.0003,0.0,-0.1107,0.0234,0.0014,0.0482,0.001,0.0,0.0084,0.008,0.0008,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,42.0,42.0,40.0,40.0,2732600,0.001,-0.0005,0.0003,-0.0013,0.0002,0.0578,0.0006,-0.012,0.0,-0.0002,-0.0313,-0.0039,0.0,-0.0085,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,41.0,42.0,41.0,42.0,2183100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,42.0,42.0,41.0,41.0,4906500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,44.0,44.0,42.0,42.0,6370400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,46.0,46.0,44.0,44.0,7853200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,44.0,44.0,44.0,44.0,3021800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
