Date,Close,High,Low,Open,Volume,IN,GR,CP,PD,DR,IF,XA,XL,CC,YP,EP,KK,AT,XC,SQ,OD,NI,YU,AZ,YB,RO,DH,MG,HD,AO,QA,BQ,LG,SF,KI
2026-07-13,106.0,110.0,105.0,109.0,2186400,0.0,-0.0112,-0.0045,-0.0034,0.0011,0.0,-0.0015,0.0442,0.0037,0.0045,0.0048,-0.0098,0.0,-0.0002,0.0001,-0.0059,0.0012,-0.0107,0.0,0.0,0.0,-0.0003,0.0,-300.0,0.0,0.0,-0.0126,0.0,0.0001,0.0005
2026-07-14,108.0,109.0,107.0,107.0,1574700,0.0,0.0,0.0,-0.0019,0.0,0.0,0.0,0.0023,0.0115,-0.0107,0.0012,-0.0011,0.0,-0.0088,-0.0005,0.0036,0.0108,-0.0064,0.0,0.0,-0.0002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0
2026-07-15,108.0,110.0,106.0,109.0,1252600,0.0,0.007,0.0,-0.0094,-0.0018,0.0,0.0021,0.0331,0.0043,0.0003,-0.0193,-0.0028,-0.0,-0.0019,0.0001,0.0001,-0.0023,0.0,0.0,-0.0098,0.002,-0.002,0.0,0.0,0.0001,0.0014,-0.0001,-0.0011,0.0,0.0
2026-07-16,108.0,108.0,107.0,108.0,1399200,0.0,-0.007,0.0,-0.0568,0.0,0.0,0.0002,0.0272,0.0115,-0.0177,0.0,-0.0014,0.0,0.0568,-0.0004,0.0004,0.0001,-0.0027,0.0,-0.0106,0.0,0.0,0.0004,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,106.0,109.0,106.0,108.0,1430000,0.0,0.0,-0.0021,0.0155,0.0005,0.0,0.0,-0.0115,-0.0056,-0.0285,-0.0001,0.0109,-0.0,0.0095,0.0072,-0.0,0.0009,-0.0027,0.0001,0.0019,0.0043,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,111.0,111.0,107.0,107.0,5177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,113.0,114.0,111.0,112.0,3715200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,113.0,115.0,111.0,114.0,2866300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,115.0,116.0,113.0,115.0,2931900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,112.0,119.0,111.0,116.0,4355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
