Date,Close,High,Low,Open,Volume,XC,YU,SQ,LG,HD,XA,BQ,NI,ZP,AT,KI,OD,EP,XL,YP,CC,PD,TP,AZ,PF,AG,AK,RO,KK,IF,DH,CP,YB,DR,DX
2026-07-13,206.0,208.0,202.0,204.0,698800,-0.0086,0.0221,0.0,-0.0109,-0.0,0.0,-0.0011,-0.0021,0.0261,0.0,0.0,0.0,-0.0007,-0.0143,-0.0166,0.0259,-0.0201,0.0,-0.0,0.0,0.0,0.0017,-0.0002,-0.0049,0.0,-0.0026,0.0,0.0,0.0,0.0062
2026-07-14,208.0,210.0,206.0,208.0,569000,-0.0361,-0.001,0.0,0.0302,-0.0,0.0,0.0,-0.0042,0.0491,0.0,0.0,0.0002,-0.0,-0.0016,0.0052,-0.0009,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048,-0.0004,-0.0006,-0.0,0.0052,-0.0412,0.0
2026-07-15,206.0,210.0,206.0,208.0,383300,-0.0005,0.0,0.0,-0.034,0.0001,0.0,0.0,-0.0014,0.0175,0.0,0.0058,0.0,-0.0022,-0.0088,0.0025,0.0002,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,400.0,-0.0003,0.0,0.0,0.0,0.0
2026-07-16,208.0,208.0,204.0,206.0,269000,0.003,0.0,-0.001,0.0,-0.0001,0.0,0.0,0.0067,0.0007,0.0,0.0,200.0,0.0,-0.0175,-0.0089,0.0153,-0.0101,-0.0001,-0.0001,0.0062,0.0052,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,206.0,208.0,202.0,206.0,1412000,0.0007,0.102,-200.0,0.0273,800.0,0.0,0.0184,0.0,0.0217,-0.0004,0.0041,0.0021,-0.0,-0.2237,0.0011,0.0448,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,208.0,210.0,204.0,206.0,336500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,210.0,210.0,206.0,208.0,208400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,210.0,210.0,208.0,208.0,389900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,210.0,212.0,206.0,210.0,842600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,208.0,210.0,206.0,210.0,356300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
