Date,Close,High,Low,Open,Volume,DH,AK,EP,RX,DX,OD,CP,AI,BK,HD,CC,YP,DR,SQ,NI,AZ,XC,KK,PD,XL,TP,LG,KI,XA,GR,RO,AT,CD,YB,QA,MG,YU,PG,BQ,ZP,AG,RF,BB,YJ,HP,IF
2026-07-13,462.0,468.0,458.0,464.0,1496500,0.0005,0.0076,-0.0004,-0.4803,0.0,-0.0011,-0.0161,0.0,0.0024,0.0003,0.0175,0.0231,0.129,0.0012,0.0002,-0.0003,-0.0032,0.0001,0.0002,-0.0568,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0009,0.0,0.138,-0.0014,0.184,0.046,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-14,462.0,466.0,458.0,464.0,1266100,0.0005,-0.0083,0.0,-0.392,0.0,-0.0097,0.0,0.0,0.0143,-0.0003,0.1174,0.0583,0.1151,-0.0046,-0.0038,0.0,0.0085,0.0002,0.0227,0.0834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,464.0,466.0,460.0,464.0,2365900,0.0008,0.0018,-0.0002,-0.5532,0.0004,0.0042,0.0,0.0,0.0002,0.0001,0.0035,-0.0575,0.2044,-0.2352,0.0049,0.0,0.0329,0.018,0.1052,0.0104,0.0,0.301,-0.0001,0.0,-0.0027,0.0014,-0.0,0.0,0.0187,0.0184,-0.0023,0.1645,-0.0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,462.0,466.0,458.0,464.0,1231300,0.0,-0.0016,0.0,-0.1499,0.0,0.0012,0.0089,0.0,0.0,0.0006,-0.2028,0.0411,0.2329,0.0026,0.0106,-0.0001,-0.007,0.0053,-0.0532,0.1055,0.0,0.0,0.0,0.0011,0.0005,-0.0014,0.0,0.0002,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,462.0,464.0,458.0,464.0,2098900,-0.0001,-0.0084,-0.0046,-0.191,-0.0001,0.0043,-0.0055,0.046,-0.5858,-0.0008,-0.0007,0.0213,0.3778,0.0094,0.004,0.0,0.002,-0.0023,-0.0498,0.1985,0.0246,0.1612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,468.0,470.0,456.0,464.0,8312900,-0.0018,0.0003,-0.0001,-2.1,0.0,0.0012,0.0137,0.115,0.0067,0.0003,0.1541,0.4352,0.1882,-0.0219,0.1312,-0.0618,0.0113,0.0013,0.1603,0.1538,-0.0186,0.2339,0.002,0.0,0.6069,0.0,0.0,0.0,-0.0093,0.0,-0.0553,0.0,0.1769,0.0035,-0.0794,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,476.0,484.0,474.0,480.0,8616400,0.002,-0.0288,-0.0022,-2.2,0.0012,0.0155,0.6266,0.0189,0.008,-0.0,-0.0042,0.1841,0.1129,0.6063,-0.0597,-0.0007,-0.0234,0.3367,0.0034,0.6546,0.0,0.0978,-0.0035,0.0,-0.1003,0.0003,0.0001,0.0,-0.0048,0.0037,-0.002,0.0,-0.2261,-0.0067,0.0002,0.0,0.0,0.0,0.0,0.0068,-0.024
2026-07-22,478.0,484.0,476.0,478.0,5388700,0.0001,-0.0495,-0.0096,-1.8,0.0,0.0036,0.1459,0.0,0.0001,-0.0003,0.0709,0.0607,0.0,0.7288,0.1794,0.0,0.0004,0.1932,0.0077,0.4735,0.0,-0.0056,-0.0,0.0,-0.0478,0.0,0.0475,0.0,0.0,-0.0049,-0.0012,0.0,0.0,-0.0052,-0.0015,0.0,0.0,0.0,0.0034,0.0,0.0
2026-07-23,484.0,500.0,476.0,500.0,4846600,0.0072,-0.0168,-0.0161,-0.8776,0.0,0.0209,-0.0876,0.0973,0.0316,0.0007,0.2822,0.5389,0.0163,-0.0099,-0.0101,-0.0006,0.0374,0.0264,0.0404,0.3179,0.0005,-0.0177,-0.0,0.0,-0.0407,0.0005,0.0012,0.0,-0.0,0.0048,-0.0005,-0.4746,0.0,0.1466,-0.0036,0.0,-0.0053,-0.0098,0.0,0.0,0.0
2026-07-24,484.0,484.0,476.0,484.0,2701800,-0.0475,0.0,0.0,-0.679,0.0,0.0273,0.0022,0.0528,-0.0272,-0.0004,0.0271,-0.1376,0.111,-0.0011,-0.0053,0.0001,0.002,-0.0081,-0.0439,0.189,0.0,0.4464,-0.0021,0.0,0.0966,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0
