Date,Close,High,Low,Open,Volume,AK,YP,DR,XC,CP,BQ,KK,PD,XL,CC,KI,HP,XA,ZP,OD,NI,AZ,DH,QA,YU,RG,RO,AT,TP,MG,CD,LG,YB,PO,EP
2026-07-13,500.0,595.0,486.0,498.0,140600,-0.0017,-0.002,0.0001,0.0153,0.0287,0.0,-0.0002,0.0007,-0.0056,-0.0182,-0.0003,0.0,0.0,0.0,-0.0001,-0.0081,-0.0001,0.0,0.0,-0.0,-0.0041,-0.0019,0.0,0.0,-0.0027,0.0,0.0001,0.0,0.0,0.0
2026-07-14,505.0,600.0,494.0,540.0,498300,-0.0016,-0.0005,0.0019,0.0072,-0.0722,0.0001,-0.0077,0.0016,0.095,-0.0085,0.0001,0.0001,-0.0001,0.0,0.0003,-0.0052,-0.0005,0.0,-0.0001,-0.0001,-0.0069,-0.0058,-0.0,0.0,0.0003,0.0027,-0.0,0.0,0.0,0.0
2026-07-15,496.0,505.0,456.0,505.0,210400,-0.0005,0.0247,-0.0001,-0.0008,0.0008,-0.0,0.0006,0.0038,-0.0594,0.0245,0.0,0.0,0.0,0.0,0.0034,0.0032,0.0001,0.0,600.0,0.0002,0.0005,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,492.0,500.0,486.0,500.0,25700,-0.0011,0.0016,0.0001,0.0008,0.0005,0.0008,-0.0002,0.0001,-0.0044,0.0005,-0.0,0.0,0.0001,0.0029,-0.0031,0.0011,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,494.0,505.0,490.0,494.0,3000,-0.0001,0.0,-0.0001,0.0002,0.0004,-0.0001,-0.0002,0.0001,600.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,494.0,510.0,492.0,494.0,39200,0.0,0.0,0.0,0.0007,0.0002,-0.0003,-0.0001,-0.0003,0.0078,-0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0019,0.0,-0.0002,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,494.0,494.0,490.0,492.0,42400,0.0,-0.0,0.0,0.0013,0.0002,0.0003,0.0,0.0,-0.0155,0.0082,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0
2026-07-22,494.0,500.0,490.0,494.0,4800,-0.0,-0.0001,-0.0001,0.0,0.0003,-0.0001,0.0001,0.0001,-0.0005,-0.0001,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,-0.0
2026-07-23,494.0,494.0,490.0,494.0,12900,0.0,0.0,0.0,0.0007,0.0001,0.0007,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,494.0,498.0,490.0,494.0,8900,0.0,0.0007,0.0,0.0027,0.0,0.0,0.0,0.0,-0.0019,0.0,0.0,0.0,0.0,-0.0019,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
