Date,Close,High,Low,Open,Volume,XC,YU,AZ,KK,CP,ZP,AT,OD,EP,XL,YP,CC,MG,RF,NI,PD,HD,RO,SQ,QA,BQ,AO,YB,DH
2026-07-13,190.0,190.0,180.0,183.0,165900,-0.0015,0.0,-0.0004,-0.0002,0.0,0.0,-0.0,0.0,0.0056,-0.0025,-0.0033,-0.0048,0.0,0.0046,-0.0009,-0.0014,0.0,0.0,-0.0005,0.0,-0.0002,0.0065,0.0,-0.001
2026-07-14,188.0,190.0,180.0,190.0,343800,0.0014,0.0,0.0,0.001,0.0,0.0013,0.0,-0.0001,0.0,-0.0362,-0.0009,0.0004,0.0185,0.0093,0.0,0.0003,-0.0,0.0,0.0,0.0,0.0,0.0052,-0.0002,0.0
2026-07-15,185.0,204.0,185.0,188.0,190800,-0.0053,0.001,0.0001,0.0019,0.0,0.0,-0.0,-0.0011,0.0,-0.0042,0.0005,-0.0037,0.0,0.0021,0.0,0.0036,0.0,0.0001,0.0,0.0,0.0,0.005,0.0,0.0
2026-07-16,190.0,194.0,185.0,188.0,43500,0.0008,0.0,0.0,0.0007,-0.0,0.0,0.0,0.0,0.0,0.0028,-0.0028,-0.0,0.0,0.0,0.0,-0.002,-0.0,-0.0,0.0005,-0.0,0.0001,0.0,0.0,0.0
2026-07-17,200.0,204.0,185.0,185.0,438500,-0.0033,-0.0011,0.0192,-0.0,-0.0,0.0033,-0.0,0.0085,-0.0081,-0.0105,-0.0078,0.0037,-0.0019,0.008,-0.0061,-0.0038,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,200.0,206.0,196.0,206.0,393200,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,204.0,206.0,200.0,206.0,189600,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,200.0,204.0,195.0,204.0,163200,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,199.0,202.0,195.0,198.0,90600,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,196.0,206.0,194.0,206.0,418500,,,,,,,,,,,,,,,,,,,,,,,,
