Date,Close,High,Low,Open,Volume,XC,SQ,LG,YB,NI,BQ,CP,AG,GR,OD,XL,YP,AK,CC,PD,CD,RX,KK,ZP,RO,AI,YU,AZ
2026-07-13,3740.0,3740.0,3520.0,3520.0,22800,0.0022,-0.0118,0.003,0.0,-0.0157,-0.0001,0.0,0.0,0.0,-0.0008,-0.0092,0.0011,-0.0044,0.024,0.0098,-0.0004,0.0,0.0,0.0,0.0004,0.0,-0.0004,0.0021
2026-07-14,3760.0,3780.0,3700.0,3700.0,5300,-0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0072,0.0023,0.006,-0.0011,0.0004,0.0067,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0
2026-07-15,3800.0,3850.0,3760.0,3760.0,33300,-0.0023,-0.0054,0.0,0.0,-0.0034,0.0,-0.0474,0.0011,-0.0251,-0.0026,0.0079,-0.0046,0.0,0.0049,-0.0057,-0.0117,0.0977,-0.0023,-0.0019,0.0008,0.0,0.0,0.0
2026-07-16,3840.0,3860.0,3810.0,3850.0,37600,0.0166,0.0004,0.0,0.0,0.0,0.0004,-0.0415,0.0,-0.0219,-0.053,0.0234,0.0062,-0.0011,0.0158,-0.0123,-0.0081,0.0752,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3860.0,3880.0,3840.0,3840.0,45700,0.0104,0.0004,0.0039,-0.0004,-0.0309,-0.0004,-0.0811,0.0012,-0.0359,-0.0069,0.0035,0.0023,-0.0027,0.1465,-0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4000.0,4010.0,3900.0,3940.0,85200,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,4000.0,4020.0,4000.0,4010.0,50500,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,4000.0,4010.0,4000.0,4010.0,10200,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,4000.0,4010.0,3950.0,4000.0,33900,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,4000.0,4000.0,3910.0,4000.0,41500,,,,,,,,,,,,,,,,,,,,,,,
