Date,Close,High,Low,Open,Volume,NI,RO,CC,OD,YB,QA,SQ,YP,YU,HP,XC,LG,KK,XL,AK,YJ,ZP,AT,AI,TP,DH,PD,BQ,AZ,IF,AG,MG,KI,GR,HD,DX,CP,BK,DR,XA,SS,EP,BB,RX,AO
2026-07-13,91.0,94.0,91.0,93.0,24053900,-0.0367,-0.0003,-0.2667,-0.0281,0.0016,0.0028,-0.0809,1.0,0.0001,-0.0008,-0.0423,0.0002,0.0048,-0.0723,-0.0054,0.0093,0.0,0.0018,0.0,0.0,0.0006,-0.9173,-0.0039,-0.0001,-0.0019,0.0,0.0013,-0.0012,0.041,-0.0,0.0,0.14,0.0162,-0.0001,0.0001,0.0,0.0002,0.0,0.2255,-0.0037
2026-07-14,91.0,93.0,90.0,91.0,10670700,-0.001,-0.0,0.0845,-0.0082,-0.0147,0.0004,-0.2232,-0.143,0.0019,0.0,0.0031,-0.0001,0.0006,0.1598,0.0164,0.0,0.0604,0.0105,0.0,0.0,-0.0486,-0.0035,-0.0201,-0.0004,0.0008,0.0,-0.0005,-0.0,0.0,-0.0006,0.0,-0.0326,0.0195,0.1381,0.0004,0.0,0.0001,0.0,0.0,0.0
2026-07-15,93.0,94.0,90.0,92.0,17151100,0.0021,0.0003,0.1963,-0.0186,0.0071,0.0016,0.0005,-0.2799,0.0001,0.0005,-0.0331,-0.2051,-0.0052,-0.1358,0.013,0.0,0.0129,0.0021,0.0,-0.0007,0.0001,-0.0253,0.0103,0.0047,-0.0001,0.0,0.0,-0.0,0.0,0.0006,0.0,-0.1205,0.0087,-0.0,-0.0006,0.094,-0.0001,-0.4537,0.9236,0.0001
2026-07-16,92.0,94.0,92.0,94.0,16474200,0.0124,0.0113,0.1643,0.0003,-0.0011,0.0098,-0.8731,-0.0797,0.0001,0.0001,0.026,0.0,0.0003,0.5709,0.0397,-0.0024,0.0,0.0001,0.0093,-0.0005,0.0101,0.047,0.0,0.0,0.0019,0.0,-0.0046,0.0,0.0575,-0.0007,0.0,0.0005,0.0005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,91.0,93.0,90.0,93.0,20712100,0.2752,-0.0009,-0.1474,0.1065,-0.0036,-0.0003,-1.1,-0.0823,0.0001,0.0012,0.021,0.0021,0.021,0.6692,0.0076,0.0023,0.0298,-0.0013,-0.0091,0.0092,0.0452,0.034,0.0,0.0132,0.0041,0.0001,0.0371,0.0005,0.0005,0.0,0.001,0.0914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,90.0,92.0,89.0,91.0,19556200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,94.0,96.0,90.0,90.0,27150600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,92.0,95.0,91.0,95.0,20804500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,93.0,95.0,92.0,93.0,21266600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,91.0,93.0,90.0,93.0,16061800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
