Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,XA,KZ,BS,PC,AT,AK,EP,YP,DH,CC,YB,BQ,NI,HD,SQ,YJ,KK,LS,CP,ZP,KI,OD,AG,BK,XL,AI,BB,DX,MG,TP,IF,RX,AO,GR,FS,HP,PD,DR,ES,PP,ZR,SH,FZ,RF,BR,CD,RO,IT,GA,QA,AF,AR
2026-07-13,2640.0,2650.0,2480.0,2570.0,26164100,-0.1966,0.5329,1.2,1.5,-0.4218,0.0,0.0,0.0,-0.2719,9.4,-0.1947,-2.1,-0.2632,-1.1,0.0025,-1.6,0.4807,0.0296,-0.3995,-0.4391,0.0,-0.2761,-0.5835,-4.6,0.0,-0.2695,-0.7821,2.1,-0.3188,0.0,-0.068,0.2123,-0.3145,0.1,1.3,0.0,0.6472,-0.2765,0.1611,0.0,-1.2,-1.1,0.0,0.0,0.0,0.0024,0.0249,-0.262,0.0,0.0,-0.1059,0.0,0.0,0.0008,-0.264,-0.1776
2026-07-14,2660.0,2680.0,2590.0,2660.0,33394100,0.9102,0.4945,4.1,0.3808,-0.6486,0.1235,0.0,0.0,0.2854,-2.2,0.3783,-0.671,-0.2101,5.2,0.1442,0.7927,-0.2384,0.2992,-0.2431,0.3494,0.5908,0.0,0.8699,-5.3,-0.0127,0.7161,-2.9,4.1,0.6664,0.0171,0.673,-0.1153,0.3694,-0.0228,-0.0199,-0.0074,-0.6569,0.312,0.0,0.0641,-0.5569,0.033,-0.0004,0.0,0.0,-0.0042,0.0,-8.4,0.0,0.0529,-0.0247,-0.0053,0.1572,-0.0018,-0.002,0.0
2026-07-15,2650.0,2690.0,2620.0,2670.0,22101700,2.9,-2.0,15.7,0.4036,0.208,-0.6302,-0.0027,-0.0532,0.1163,-26.6,0.1529,0.7269,-0.0357,0.2351,0.0668,0.1393,0.8054,-0.222,0.1009,-0.0135,0.0,0.2942,-0.8178,0.9489,0.7898,0.1359,-0.1017,3.1,0.0,0.274,0.0,0.0,0.1447,0.2399,0.0596,0.0,0.0,0.2575,-0.1879,-0.0001,1.8,-0.0731,-0.0298,0.0,0.0,-0.0053,-0.0027,-0.0399,0.403,0.7432,-0.0019,0.0,0.0,0.0,0.0,0.0
2026-07-16,2660.0,2720.0,2650.0,2670.0,32554300,0.0,-2.6,1.4,0.4342,-0.4484,0.0,0.0,0.0,-0.0922,-2.1,-0.2826,3.5,0.5994,2.2,1.2,1.1,5.0,0.1635,-1.3,0.0,0.04,0.0,0.5018,-13.1,-0.2589,3.5,-1.7,4.4,1.2,0.0544,-5.7,0.0,1.2,0.2432,0.0616,0.0,0.0,0.1048,0.0262,-0.0247,-0.0954,0.6415,0.0266,0.2391,0.0531,-0.0054,-0.0243,0.0426,-0.4005,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2660.0,2670.0,2600.0,2650.0,27449500,0.4615,0.1039,13.2,-0.2088,-0.1205,-6.0,0.0026,-0.0,-0.0013,-10.4,0.5277,-1.1,0.7976,1.2,-0.165,3.0,0.5401,0.0577,0.6544,-0.3647,0.0875,-0.2902,-0.0289,-13.9,0.5439,7.0,2.6,1.4,2.3,0.0983,-5.0,-0.0064,0.5044,0.086,0.5306,-0.0362,0.262,0.1138,-0.0012,-0.0005,0.7512,0.6169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2670.0,2710.0,2660.0,2680.0,25542800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,2720.0,2760.0,2680.0,2690.0,46555200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2730.0,2830.0,2720.0,2770.0,54515700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2780.0,2930.0,2740.0,2740.0,63130400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2650.0,2770.0,2640.0,2760.0,35639700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
