Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,QA,PI,DR,SQ,SS,YP,DX,HP,XC,LG,KK,XL,YJ,AI,DH,AZ,IF,PF,RG,MG,PC,LS,MU,CP,BK,RO,IN,RS,YU,AK,ZP,EP,CD,DD,IU,PD,BQ,BB,KI,BR,AR,GR,HD,AO,FZ,YB,ES,AF,BS,AT,RF,TP,SF,AG,KZ,ZR,OK,PO,SH,TS,TF,RX,JB,FS,SA,MI
2026-07-13,346.0,346.0,326.0,334.0,616077000,0.0,0.5688,-13.8,0.2268,-0.0025,0.0,0.185,-1.2,0.0,3.5,0.2528,0.329,-0.1405,1.1,0.0,-0.4537,-0.7053,-0.1656,0.1487,-6.7,11.8,-0.74,-0.0025,10.7,-0.003,-0.0085,-0.0067,-0.5188,-10.5,0.2161,-1.7,0.0,0.6116,-5.1,0.3584,0.102,-0.0156,0.0,0.0,2.4,-0.3533,1.2,0.4909,-0.0718,0.0,0.7247,1.3,0.0684,0.0,2.2,0.0,-0.0014,0.0,0.4191,2.6,0.5943,0.0,0.0631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,-0.0089,-0.0365,-0.0173
2026-07-14,358.0,372.0,346.0,346.0,1121442200,-1.8,0.1471,-18.3,-0.6958,0.0,0.0,0.0,-3.6,3.5,2.1,-0.2317,-0.2217,1.1,33.2,-2.1,-25.5,-0.1723,0.6069,0.2321,-10.6,9.7,0.0,0.0057,-11.7,0.0123,0.2311,0.0,1.6,-4.8,-0.2809,-1.8,0.036,4.6,14.5,0.0,-1.5,0.0,0.0,0.0,8.4,-1.3,2.8,-0.285,0.7175,0.0,0.5349,-1.1,-0.4146,0.0,-1.4,0.0,0.0,0.0,-0.386,-2.6,-0.7603,0.0,-0.3611,0.0,0.0,0.0,0.0143,-0.1511,0.0242,0.0058,8.7,0.0,0.0,0.0,0.0
2026-07-15,362.0,372.0,356.0,360.0,668309500,-0.1098,0.2842,-0.1202,-0.9722,0.0098,0.0,-0.1295,3.5,1.9,-3.4,0.8875,-0.2942,-1.8,4.6,0.3777,3.8,-0.2824,0.5132,-0.7478,-2.4,0.0142,0.0,-0.0755,4.7,-0.0144,0.0695,0.0,-8.1,-3.2,0.0407,0.0,0.0,-1.1,15.3,-0.3601,-0.182,0.4027,0.0,-0.0115,-6.2,0.0119,-0.2399,-1.0,0.0,0.0,1.1,-0.0512,-9.1,0.0102,1.5,0.0,0.036,0.0,0.198,0.0,-3.5,0.0,-0.1468,4.2,0.1814,0.0163,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,370.0,378.0,354.0,362.0,586030100,1.3,-0.9342,-4.6,-0.2372,0.0058,0.0,-0.7632,-1.6,-5.5,-0.2662,0.0,0.1052,-2.5,4.5,-0.3949,-4.4,-0.4947,-0.2028,-0.6426,5.1,0.0665,0.0,0.0365,8.6,0.001,-0.3696,0.0352,4.6,-0.8895,-0.2535,0.0,0.0,-9.1,-0.9113,1.8,-0.4781,0.0472,0.0,0.0031,4.3,0.6117,7.3,0.0,-0.6746,0.05,-0.3661,0.7353,0.0,0.0,-0.8565,0.0267,0.0002,0.1818,-0.6179,-1.8,-0.3864,0.0005,0.1573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,364.0,374.0,362.0,370.0,371196100,-0.4286,0.3085,-8.7,2.4,-0.011,-0.0004,1.9,1.5,-0.0018,-0.4934,-0.6173,0.1726,7.2,2.3,0.8418,8.5,0.0723,0.4447,0.728,5.9,0.2643,-0.0018,-0.0,-2.7,-0.0275,-0.0651,-0.0093,-3.8,-2.8,0.3205,1.1,-0.0039,-1.8,-18.0,1.2,1.3,-0.0005,-0.008,0.2757,1.5,-0.0043,-6.8,2.9,-0.0373,0.04,1.0,1.2,2.8,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,398.0,400.0,364.0,368.0,983502900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,440.0,450.0,392.0,400.0,2196964900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,440.0,448.0,424.0,442.0,1098397600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,472.0,486.0,436.0,438.0,2109888300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,442.0,472.0,438.0,468.0,1067827300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
