Date,Close,High,Low,Open,Volume,HD,XL,PD,EP,XC,MG,SQ,CP,AZ,MI,NI,AO,BQ,RO,AG,XA,YB,GR,YP,CC,IF,OD,KK,DR,DH,DX,CD,TP
2026-07-13,138.0,138.0,131.0,133.0,287700,-600.0,-0.0133,0.0034,0.0,0.0093,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0007,0.0,-0.0015,0.0,0.0001,-0.0002,0.0001,0.0,0.0,0.0,-0.001
2026-07-14,140.0,140.0,135.0,138.0,82400,-400.0,0.0027,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0003,-0.0001,0.0,-0.0008,0.0001,-0.0011,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,141.0,141.0,139.0,140.0,131500,0.0,-0.0033,-0.0012,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,-0.0,0.0042,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,-0.0,0.0001,0.0
2026-07-16,141.0,143.0,135.0,143.0,52300,0.0,-0.0015,-0.0007,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,0.0017,0.0,-0.0001,0.001,0.0001,-0.0005,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,142.0,157.0,137.0,146.0,2433900,-0.0,0.0196,0.0006,-0.002,0.0225,-0.0057,-0.0006,-0.0001,-0.015,0.0,-0.0002,0.0002,0.0017,0.0001,0.0,0.0003,0.0015,-0.0054,0.0011,-0.0327,0.0014,0.0044,0.0097,-0.0015,0.0,0.0,0.0,0.0
2026-07-20,139.0,143.0,136.0,143.0,243900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,139.0,141.0,136.0,139.0,243000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,140.0,140.0,138.0,140.0,36300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,139.0,140.0,137.0,139.0,60200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,138.0,140.0,130.0,139.0,342300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
