Date,Close,High,Low,Open,Volume,NI,RO,XA,OD,YB,QA,DR,SQ,YP,XC,LG,KK,AK,XL,AT,ZP,AI,EP,PD,BQ,FZ,AZ,KI,MG,GR,CC,DX,CP,DH,IF,AG,MU,BK,HP,YJ,TP,MI,IH
2026-07-13,82.0,82.0,80.0,82.0,7031800,-0.0039,0.0,0.0009,0.0234,-0.0022,-0.0031,0.0,-0.0021,0.0409,0.0404,0.0056,0.039,-0.0044,-0.0774,0.0,0.0,0.0105,-0.006,-0.0709,0.0059,0.0,-0.0024,0.0016,-0.0001,0.0071,0.0184,0.0007,0.001,0.0008,-0.0001,0.0,0.0001,0.0006,0.0,0.0,-0.0243,0.0,0.0
2026-07-14,82.0,86.0,80.0,82.0,9461700,-0.0216,0.0,-0.0006,0.0087,0.0045,0.0054,-0.001,0.0,0.0802,0.0024,-0.0004,-0.0394,-0.0073,-0.0529,-0.0043,0.0,-0.0001,0.0,0.013,-0.0088,0.0,-0.0013,0.0,0.0536,-0.0182,-0.0063,-0.0034,-0.0003,-0.0018,0.0001,0.0,0.0,-0.0006,200.0,0.0001,0.0,0.0001,0.0
2026-07-15,83.0,85.0,82.0,83.0,8686200,-0.0039,0.0101,0.0,0.0042,-0.0046,-0.0017,0.0004,-0.0037,0.0211,-0.0023,0.0072,0.0005,0.0152,-0.0735,0.0,0.0,-0.0026,0.0033,0.0186,0.0118,0.0,-0.0012,0.0002,0.0024,-0.0427,0.0193,0.0,0.0214,0.0012,0.0,0.0,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,83.0,84.0,82.0,84.0,2606000,0.0021,0.0001,0.0002,-0.034,-0.0,-0.0056,0.0,0.0005,0.0436,-0.0011,0.0,-0.0,-0.0066,-0.0058,0.0,0.0,0.0046,-0.0024,-0.0044,0.0012,0.0,0.0,0.0,-0.0005,0.0,0.0004,0.0008,0.0004,0.0008,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,82.0,86.0,82.0,83.0,9308600,0.0258,-0.0099,0.0036,0.0315,0.0026,0.0001,0.0042,0.0002,0.0556,0.0079,-0.0071,0.0254,-0.0148,-0.0669,-0.0042,-0.0,0.0078,-0.0042,-0.0304,0.0258,-0.0001,-0.0015,0.001,-0.059,0.0074,-0.0148,0.0004,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,83.0,83.0,81.0,82.0,3416500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,85.0,103.0,84.0,95.0,307993700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,86.0,88.0,84.0,86.0,19792000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,86.0,88.0,85.0,87.0,12392200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,84.0,87.0,83.0,86.0,7138700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
