Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,XL,KZ,YJ,AI,DH,AZ,IF,MG,PC,MU,CP,BK,RO,YU,AK,AT,ZP,TF,TP,EP,CD,SF,PD,BQ,AG,KI,GR,HD,AO,DX,EL,RF,PP,SS,FZ,IN,ZR,IU,GA,IH,SH,PG,MI,BB,PO
2026-07-13,590.0,600.0,580.0,580.0,63958600,0.8103,0.1158,-0.7123,0.6247,0.3853,0.0002,-0.0039,-0.195,0.0072,-0.0314,0.9504,0.4529,1.1,-0.576,-0.1755,0.1404,0.7026,0.125,-0.2128,-0.3563,-0.0593,-0.003,0.0006,1.1,-2.0,-0.0156,-0.3654,-0.4945,1.6,-0.5179,0.0,0.1658,-0.1057,-0.0025,-0.036,0.0674,0.0044,-0.006,0.0003,-0.1214,-1.4,-0.0004,-0.0128,0.0,0.0,0.0,0.0,0.0,0.0474,0.0089,0.0357,0.0,0.0,0.0,0.0531,0.0001,-1.1,-0.0008
2026-07-14,580.0,610.0,565.0,600.0,160931000,1.3,0.6853,0.7744,1.1,0.3077,0.0,0.5701,0.7343,3.2,0.0793,1.7,-29.7,0.6319,5.1,0.0,-0.0233,2.7,0.4093,0.604,-0.4163,0.1624,0.0,-0.0037,1.1,-0.1363,0.0,-0.1163,6.0,0.0,3.9,0.0,0.0,0.2041,0.0,0.0,5.5,2.1,0.0,0.0,0.4242,1.2,0.0,0.0,0.0,-10.6,0.0,0.0,0.0,-0.0606,0.0,0.0,-0.1721,0.0,0.1091,0.0,0.0,0.0,0.0
2026-07-15,610.0,610.0,575.0,585.0,98779300,-0.8057,0.1296,5.1,-1.4,-0.5188,0.0,-0.886,-0.8728,-3.3,0.0343,-3.5,-0.8259,-1.6,-1.0,0.0,-0.1197,0.0,-0.7659,0.1158,0.302,-0.2174,0.0,0.0018,0.0659,-1.7,0.2236,-0.132,8.1,-0.1408,2.3,0.0,-0.0076,1.2,0.0508,0.0001,-2.1,-2.3,0.0,0.0288,0.0578,-1.1,-0.3611,0.0671,-0.122,0.0,0.0,6.0,0.6096,-0.0885,-0.0385,0.002,-0.4348,0.0031,0.0,0.0,0.0,0.0,0.0
2026-07-16,595.0,610.0,585.0,605.0,85522500,2.7,-0.1572,2.5,0.8916,-0.1418,0.0,0.165,0.6177,4.9,-0.0019,2.5,-5.0,0.5631,3.3,-0.1815,0.0,-0.0041,0.2444,-0.5345,0.1491,4.1,0.0,0.0,0.3038,-3.1,-0.2368,0.0,-4.9,-0.0459,2.3,0.0,0.0909,0.7452,0.0,0.2965,1.6,4.4,0.0443,0.0312,0.4696,1.2,0.0,0.0,0.1216,-20.1,0.1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,595.0,600.0,585.0,595.0,37597300,0.8021,-0.1145,-1.0,-0.3574,0.0076,0.0018,-0.0525,0.3385,0.3786,0.0202,1.0,0.1249,0.192,1.0,0.0357,-0.0003,-0.0597,-0.0536,0.2033,-0.0016,0.488,-0.0008,0.003,-0.191,-2.2,-0.0102,1.9,-0.1528,0.0007,-1.5,-0.0021,0.0112,-0.185,-0.006,0.0298,-1.2,1.3,-0.003,-0.0223,-0.0012,-0.6172,-0.0387,-0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,605.0,605.0,595.0,600.0,66564300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,610.0,620.0,600.0,605.0,69249200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,620.0,635.0,610.0,620.0,109065400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,645.0,660.0,630.0,635.0,168081400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,640.0,670.0,635.0,650.0,142394200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
