Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,PG,QA,YP,HP,XC,KK,XL,AK,ZP,EP,DH,PD,BQ,IF,AG,AZ,MG,GR,CC,CP,RO,SQ,LG,DR,YU,AT,CD,KI,TP,LS,YJ,PC,MU,DX,HD,AI
2026-07-13,117.0,118.0,115.0,117.0,789000,0.0003,0.0,0.0016,0.0,0.0,0.0,-0.0316,-0.0002,-0.0025,0.0136,0.0254,-0.0169,0.0,0.0,0.0001,-0.0002,0.0001,0.0,0.0,-0.0004,200.0,0.0,0.0093,0.0,-0.0,-0.0003,0.0,0.0,0.0011,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,116.0,120.0,112.0,116.0,1321000,-0.001,0.0,-0.0023,0.0,0.0,0.0,-0.0456,0.0,-0.0007,-0.0018,-0.0281,0.0147,-0.0005,0.0002,0.0,-0.0015,0.0,0.0059,0.0,-0.0014,-0.0,0.0,0.0192,-0.013,0.0,0.0001,0.0,0.0562,0.0,0.0,0.0,0.0,-0.0018,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,126.0,138.0,114.0,118.0,13966500,0.0016,0.025,0.0087,-0.0012,-0.0027,-0.0028,0.0126,0.0,-0.0226,0.0105,0.0784,0.001,-0.0032,0.0037,0.0004,-0.0267,-0.003,0.0,0.0,0.0,-0.01,0.0006,-0.0275,-0.0381,-0.0002,-0.0027,-0.0006,0.0001,-0.0011,-0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,125.0,125.0,121.0,125.0,1290700,-0.0004,0.0,-0.0036,0.0,0.0,0.0,-0.0007,0.0,-0.0026,0.0,0.02,-0.0021,-0.0001,0.0007,0.0001,0.0125,0.001,0.0,0.0,-0.0297,0.0013,0.0,-0.0,0.0,-0.0,0.0007,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,127.0,133.0,121.0,125.0,6170000,0.0124,0.0062,0.0024,-0.0019,-0.0039,-0.001,0.0455,-0.0001,-0.0006,0.0187,-0.0739,-0.0094,-0.0001,-0.0007,-0.0001,-0.0022,-0.0001,-0.005,0.0001,-0.0002,0.0435,-0.0013,-0.0304,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,125.0,131.0,122.0,128.0,2903600,-0.0005,0.0325,-0.0,0.0,0.0,0.0,0.0145,0.0,0.0382,0.0019,-0.1495,-0.0069,-0.0001,-0.0002,0.0012,0.0321,0.0055,0.0,0.0,0.0021,-0.0046,0.0003,0.0325,0.0023,-0.0001,0.0,-0.0,-0.0,0.0,0.0,-0.0001,0.0001,0.0,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,124.0,127.0,121.0,126.0,1657000,0.0014,0.0,-0.0114,0.0,0.0,0.0,-0.0598,0.0,0.0077,0.0195,0.0243,-0.0001,-0.0001,0.002,0.0037,0.0043,-0.0028,0.0001,0.0,-0.0001,-0.0003,0.0,-0.0015,-0.0006,0.0005,0.0123,-0.0001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,124.0,127.0,116.0,125.0,2925400,0.0031,0.0,0.0011,0.0002,0.0,-0.0001,-0.1837,0.0,0.004,0.0004,0.0936,0.0001,0.0008,0.0021,0.0,0.0163,0.0006,0.0,0.0,0.0037,0.0039,0.0,0.0074,0.001,0.0,-0.0118,-0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0,0.0,0.0495,0.0
2026-07-23,122.0,127.0,121.0,124.0,1698400,-0.0025,0.0001,-0.0001,0.0,0.0,0.0,-0.0045,0.0061,-0.0102,-0.01,0.0363,-0.0004,0.0007,-0.0043,-0.0001,0.0148,-0.0024,0.0,-0.0001,-0.0001,-0.0376,0.0013,-0.005,0.0012,0.0,0.017,0.0006,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,127.0,150.0,118.0,122.0,51177800,-0.0953,0.0001,0.0004,0.0039,0.0,0.0008,-0.0827,-0.0053,-0.0022,-0.0065,0.1297,-0.0004,-0.0006,0.0096,0.0588,-0.0957,0.0069,-0.0018,0.0015,0.0085,0.0047,-0.0033,-0.0024,0.0192,-0.0003,-0.002,-0.0208,0.1072,-0.0012,-0.0004,0.0,-0.0001,0.0138,0.0,-0.0072,-0.0004,-0.0073,0.0,-0.0292,-0.0001
