Date,Close,High,Low,Open,Volume,HD,XL,PD,EP,YB,XC,SQ,CP,SF,AZ,YP,CC,NI,OD,KK,MG,DH,RO,GR,AT,BQ,LG,XA,KI,AG
2026-07-13,91.0,92.0,89.0,92.0,562800,0.0001,-0.0047,0.0022,-0.0003,0.0,0.0042,0.0001,0.0,0.0008,0.0,0.0055,-0.0041,0.0001,-0.0184,0.0081,0.0002,0.0,0.0,0.0,0.0,-0.0,0.0,0.0063,0.0,-0.0001
2026-07-14,91.0,94.0,90.0,91.0,824600,-0.0,0.0087,0.0034,-0.0006,-0.0003,-0.0014,0.0001,-0.0008,-0.0008,0.0009,-0.0008,-0.0,-0.0001,-0.0052,-0.0102,0.0134,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0064,0.0,0.0
2026-07-15,93.0,93.0,90.0,91.0,960500,-0.0,0.0264,0.0125,0.0,0.0001,0.0033,0.0001,0.0,-0.0018,0.0008,-0.0461,0.0028,-0.0004,-0.0,-0.0006,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0032,0.0,0.0,0.0
2026-07-16,91.0,93.0,89.0,93.0,1261200,0.0,-0.0148,0.0037,0.0024,-0.0044,0.0104,0.0003,-0.0055,0.0099,0.0013,0.0203,-0.0241,0.0001,0.0,-0.0138,0.0114,-0.0003,-0.0,0.0027,0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-17,91.0,92.0,90.0,92.0,437900,-0.0,0.0103,-0.0063,0.0014,0.0001,-0.0053,0.0001,0.0001,-0.0,0.0,-0.0042,-0.0081,0.0001,0.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,91.0,91.0,89.0,90.0,1283900,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,92.0,92.0,90.0,90.0,1513500,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,118.0,123.0,91.0,92.0,44109800,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,104.0,113.0,104.0,110.0,32419400,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,101.0,106.0,98.0,105.0,4097300,,,,,,,,,,,,,,,,,,,,,,,,,
