Date,Close,High,Low,Open,Volume,NI,RO,XA,IN,OD,YB,QA,DR,SQ,YP,YU,HP,XC,LG,KK,AK,XL,ZP,TP,EP,DH,SF,PD,BQ,IF,AZ,AG,MG,KI,GR,CC,AO,FZ,CP,RB,AT,PI
2026-07-13,51.0,51.0,50.0,51.0,3063300,-0.0028,0.0,-0.0055,0.0,0.0,0.0,0.0,-0.002,0.0212,-0.0916,-0.0,0.0,0.0025,0.0,0.0015,0.0001,0.0028,0.0,0.0,0.0,0.0156,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0147,0.0253,0.01,0.01,0.0
2026-07-14,51.0,52.0,50.0,51.0,4148200,0.0027,0.0,-0.0047,0.0,0.0001,0.0,0.0,0.0,0.0098,-0.0569,0.0,0.0,0.0001,0.0,0.0001,0.0,-0.0148,0.0,0.0,0.0,-0.0153,-0.0128,-0.0,-0.0001,0.0,0.0,-0.0001,0.0,0.0,0.0,0.1457,0.0,-0.0028,-0.0408,-0.0102,0.0,0.0
2026-07-15,52.0,52.0,51.0,51.0,246300,0.004,0.0,0.0004,0.0,-0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,-0.0043,0.0,0.0,0.0005,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,-0.0032,0.0,0.0,0.0,0.0
2026-07-16,52.0,52.0,51.0,51.0,770900,-0.0153,-0.0,-0.002,0.0,0.0001,0.0,0.0,0.0,0.0051,0.0013,0.0,0.0,0.0002,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0001,0.0,-0.0178,0.0102,0.0,0.0,0.0
2026-07-17,52.0,55.0,51.0,51.0,18951000,-0.0028,-0.0001,-0.0252,0.0024,-0.0498,0.0003,-0.0001,0.0187,-0.0767,-0.0043,-0.0535,0.0021,-0.0048,0.0017,0.0033,0.0063,-0.0222,0.0207,0.0092,0.0084,-0.0002,0.027,-0.0005,-0.0005,0.0016,-0.0321,-0.0011,0.0695,-0.0002,0.0002,0.1151,0.0022,-0.0051,-0.0093,0.0,0.0,0.0
2026-07-20,53.0,54.0,52.0,53.0,2453500,0.0069,0.0,-0.0061,-0.0024,-0.0266,-0.0001,0.0,-0.0018,0.0,-0.0266,0.0,-0.0011,-0.0,0.0,-0.0005,0.0,-0.0168,0.0078,0.0,0.0006,0.0,0.0,-0.0017,0.0,0.0,-0.0012,-0.0005,-0.0106,0.0,0.0,0.0806,0.0,0.0,0.0,0.0,0.0001,0.0
2026-07-21,53.0,54.0,52.0,53.0,7271500,0.0224,0.0009,0.0056,0.0,0.0006,0.0,0.0,-0.0029,0.0312,-0.1913,0.0,0.0,0.0278,-0.0001,0.0059,0.0131,0.084,-0.0066,0.0008,-0.0126,0.0,0.0,-0.0015,0.0004,0.0,-0.0129,0.0,-0.0002,0.0,0.0,0.0354,0.0,-0.0007,0.0008,-0.0001,0.0,0.0
2026-07-22,53.0,54.0,52.0,53.0,3149500,0.0035,0.001,0.0001,0.0,-0.0021,0.0,0.0,-0.0003,-0.0011,-0.0027,0.0002,0.0,-0.0219,0.0,-0.0009,0.0,-0.0077,0.0129,-0.0001,-0.0016,0.0,0.0,-0.0037,0.0,0.0,-0.0098,0.0,0.0,-0.0003,0.0,-0.0168,0.0,0.02,0.0259,0.0,0.0,0.0052
2026-07-23,53.0,54.0,52.0,53.0,3209200,0.0004,-0.0002,-0.0046,0.0,0.0,0.0,0.0,-0.0263,-0.0005,0.0517,0.0,-0.0011,0.001,0.0,-0.0016,0.0137,-0.023,0.0053,0.0005,0.0,0.0,-0.0265,0.0002,0.0,0.0,-0.0026,-0.0003,-0.0,0.0,0.0,0.055,0.0,-0.0198,-0.0188,0.0,0.0027,-0.0054
2026-07-24,53.0,53.0,52.0,53.0,1150200,0.0008,0.0,-0.0046,0.0,-0.0053,0.0,0.0,0.0,-0.0053,-0.001,0.0,0.0,0.0013,0.0001,-0.002,0.0,-0.0182,-0.0053,0.0,0.0,0.0,0.0107,-0.001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0404,0.0,-0.0003,-0.0101,0.0,0.0,0.0
