Date,Close,High,Low,Open,Volume,BQ,CC,XL,EP,XC,GR,PD,KK
2026-07-13,1000.0,1050.0,1000.0,1050.0,19700,-0.0192,0.0,0.0001,0.0,0.0,0.0,0.019,0.0001
2026-07-14,990.0,1000.0,990.0,1000.0,25300,-0.0049,0.0,-0.0001,0.0,0.0,0.0201,-0.0151,0.0
2026-07-15,995.0,995.0,900.0,950.0,5800,0.0001,0.0,0.0001,0.0,-0.0002,0.0047,-0.0047,0.0
2026-07-16,1040.0,1090.0,905.0,990.0,1200,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-17,1080.0,1090.0,965.0,1000.0,1700,0.0001,0.0003,-0.0008,-0.0001,0.0005,0.0,0.0,0.0
2026-07-20,1305.0,1350.0,1245.0,1350.0,419700,,,,,,,,
2026-07-21,1160.0,1300.0,1120.0,1300.0,275000,,,,,,,,
2026-07-22,1085.0,1250.0,1070.0,1205.0,39400,,,,,,,,
2026-07-23,1110.0,1250.0,1000.0,1085.0,73200,,,,,,,,
2026-07-24,1130.0,1145.0,1015.0,1140.0,27000,,,,,,,,
