Date,Close,High,Low,Open,Volume,XC,YU,LG,XA,AZ,AT,AK,EP,YP,DH,CC,YB,NI,BQ,PD,HD,QA,SQ,KK,LS,CP,ZP,KI,OD,AG,SS,XL,AI,BK,MG,TP,IF,PG,MU,GR,HP,CD,RO,DR,BS,AO,PC,SA,KZ,EL,BB,DX,RF,RX,IN,YJ
2026-07-13,1525.0,1540.0,1520.0,1535.0,140977500,0.1005,15.2,0.9758,4.0,9.0,0.0005,12.0,0.3444,0.4488,0.1476,14.0,1.1,0.0012,-0.0015,-0.1145,30.7,0.0024,-0.3886,-0.0703,5.2,-0.0223,-180.0,0.0,-0.1965,0.0,0.0,0.4465,0.0,6.5,-0.0438,0.0,-0.0707,0.0,0.0,-0.0009,0.0493,0.0,-0.0002,0.0,-0.3056,1.4,0.0,26.2,1.8,0.0351,-0.1322,0.0,0.0,-25.7,62.5,15.0
2026-07-14,1535.0,1535.0,1525.0,1535.0,32224500,-0.0906,-2.0,-0.0002,0.0058,-0.0002,0.0063,4.6,-0.4318,-0.2125,-0.0164,-0.0611,0.0,-0.0865,0.0115,-0.1907,15.3,0.0143,0.1011,-0.0147,0.0,-0.0677,2.5,0.0,-0.0584,0.0,0.0,-2.3,0.0,-0.6692,0.1925,0.0,-0.0015,1.4,0.0,-0.0089,-0.1562,0.0,0.0,0.0012,0.0005,0.0,0.0,18.5,-1.0,-0.0353,-0.4437,-0.5878,2.9,-37.3,0.2292,0.0
2026-07-15,1525.0,1540.0,1525.0,1540.0,18256900,0.1493,-19.8,0.0,0.0,-0.0308,-0.0023,2.9,0.0008,0.0123,-0.0002,0.9689,-0.3192,-0.0055,0.0014,0.4413,0.0,0.0005,-0.0073,-0.0112,0.0,0.0015,0.6347,0.0,0.0005,0.0,0.0,0.0155,-0.0005,-3.5,-0.0014,0.0,-0.0094,-0.7624,0.0,-0.9523,-0.0022,0.0,0.0002,-0.0149,-0.4605,0.0,-0.1525,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1470.0,1535.0,1435.0,1525.0,6301400,0.0058,0.0034,0.0016,0.0005,0.0046,-0.0016,3.2,-0.0377,0.0791,-0.053,-3.9,-0.0032,0.1128,0.033,0.3131,-0.001,0.0138,0.0253,0.0783,0.0,-0.0172,0.0524,0.0001,-0.4376,0.0,0.0,-0.2529,0.1772,0.0438,0.0,0.0,-0.0297,1.3,0.0,-0.3059,0.0826,0.0015,0.0044,-0.5302,-0.0074,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1520.0,1520.0,1475.0,1475.0,4668200,-0.1041,-0.0698,-0.0194,0.0377,0.0236,0.0003,4.0,-0.0128,-0.2431,0.0072,-1.7,-0.0061,0.0638,-0.0309,-0.5947,-0.1123,0.009,-1.1,-0.0495,0.0003,0.0149,0.9076,-0.0003,0.087,-0.0015,0.0745,0.0589,-0.0021,-0.0,-0.2072,-0.904,-0.0004,0.216,0.0008,-0.0961,-0.1737,-0.0015,-0.0045,-0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1505.0,1525.0,1490.0,1520.0,1596200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1515.0,1530.0,1490.0,1515.0,3324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1515.0,1525.0,1490.0,1525.0,3421600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1515.0,1525.0,1500.0,1525.0,3228200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1520.0,1520.0,1480.0,1515.0,2027500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
