Date,Close,High,Low,Open,Volume,NI,XA,CC,PD,KI,YP,XC,LG,KK,XL,ZP,AZ,OD,BQ,SQ,DH,DR,QA
2026-07-13,1145.0,1145.0,1125.0,1145.0,17900,-0.0021,0.0,0.0137,-0.0025,0.0,-0.0009,0.0003,0.0,0.0,-0.0104,0.0,0.0023,0.0001,-0.0006,0.0001,0.0,0.0,0.0
2026-07-14,1150.0,1160.0,1130.0,1150.0,19200,0.0,0.0,0.0091,-0.0002,-0.0001,0.0003,-0.0007,0.0,0.0,-0.0083,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0
2026-07-15,1150.0,1165.0,1140.0,1165.0,15100,0.0116,0.0,0.0016,-0.001,0.0,-0.0001,0.0012,0.0002,0.0,-0.0113,0.0,0.0,-0.0001,-0.0001,-0.002,0.0,0.0,0.0
2026-07-16,1150.0,1165.0,1130.0,1150.0,45200,0.0003,0.0,0.0119,-0.0043,0.0,-0.0002,-0.011,0.0,0.0,-0.0205,0.0227,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1160.0,1165.0,1130.0,1130.0,42600,0.0008,0.0233,-0.0098,-0.0047,-0.0007,-0.0068,-0.0007,0.0005,0.0011,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1160.0,1165.0,1140.0,1160.0,48800,0.0036,0.0347,-0.0211,-0.0002,0.0,-0.0001,0.0006,0.0058,0.0,-0.0222,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,0.0
2026-07-21,1160.0,1160.0,1150.0,1160.0,26300,0.0,0.0,0.0006,-0.0014,0.0002,-0.0069,0.0022,0.0,0.0,0.0077,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,-0.0026
2026-07-22,1155.0,1160.0,1145.0,1160.0,27300,0.002,0.0,0.0018,0.0,0.0,0.0,-0.0008,0.0,0.0006,-0.0132,0.0,0.0,-0.0012,-0.001,0.0002,0.0,0.0116,0.0
2026-07-23,1160.0,1165.0,1155.0,1155.0,27800,0.0016,0.0,0.0005,-0.0078,0.0,-0.0058,0.0012,0.0058,0.0,-0.0013,0.0006,0.0006,0.0,0.0,0.0046,0.0,0.0,0.0
2026-07-24,1160.0,1160.0,1140.0,1155.0,43500,0.0198,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0,0.0,-0.0236,0.0,0.0041,0.0,-0.0005,-0.0009,0.0003,0.0,0.0
