Date,Close,High,Low,Open,Volume,CD,CP,GR,XL,CC,YP,IF,AO,KK,FS,AT,DX,XC,LS,FZ,MU,AZ,HP,BK,PC,TF,MG,BB,YJ,PD,DR,XA,EP,KI,AG,AI,SQ,TP,OD,QA,BQ,AK,NI,YU,PG,ZP,YB,LG,HD,RO,DH,PP,DP,IU,BR,BS,SH,KZ,RX,II
2026-07-13,256.0,258.0,252.0,256.0,19598300,0.0,0.0002,-0.0089,0.4776,-0.5455,-0.2507,0.0067,0.0,-0.0726,0.0013,-0.0001,0.0,0.0488,0.0,-0.512,0.0,-0.1279,0.0003,0.2315,0.0,0.0,-0.02,-0.2328,0.0,-0.0155,-0.1284,-0.0057,-0.0008,-0.0051,0.0064,0.0,0.5711,-0.1586,0.0171,0.0,-0.0954,-0.1555,0.097,0.5051,0.0,0.5632,0.0017,0.0202,0.0197,0.002,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,-0.2286,0.0,-0.0282
2026-07-14,260.0,264.0,256.0,258.0,26167600,-0.0011,0.1338,0.0177,-0.2615,0.5234,-0.3229,0.0948,-0.0158,0.0624,0.0047,-0.0925,0.0013,-0.0045,0.0002,0.0,0.0,-0.0013,0.0244,-0.0678,0.0,0.0,-0.0057,0.0,-0.0468,-0.0897,-0.096,-0.0023,-0.0871,0.0035,0.0096,0.002,-0.0438,-0.1178,-0.0639,-0.0003,0.0057,0.0083,0.0039,0.3443,0.0,1.1,-0.0637,-0.0215,-0.0204,0.0058,-0.0379,0.0,0.0,-0.001,0.0,0.0,0.0,-0.779,-0.1472,0.0
2026-07-15,260.0,262.0,258.0,260.0,33250600,0.0,0.0581,-0.0048,-0.3343,0.0803,0.2276,0.0056,0.0,0.1023,-0.0052,-0.0164,0.0457,0.048,0.1246,0.0,0.0,0.0038,0.0287,0.1381,-200.0,0.0,0.0,-0.2019,0.0,-0.0314,0.0818,0.0078,0.0794,0.0,0.0181,0.0,0.0832,-0.2844,0.035,0.0,0.0086,-2.4,0.7089,0.0794,0.0,1.9,0.1512,0.0351,0.0,0.0119,0.0059,0.0,0.0,0.0,0.0,0.0,-0.078,-0.6478,0.0,0.0
2026-07-16,266.0,266.0,260.0,260.0,43158100,-0.0655,-0.0672,-0.0798,0.4092,0.7336,-0.025,0.0232,-0.0052,-0.032,-0.0079,0.0025,-0.0045,-0.0258,-0.0535,-0.0053,0.0,-0.0028,0.0,-0.001,0.0,0.0,-0.0351,-0.4127,0.0,2.6,0.0476,0.0167,-0.2314,-0.0055,0.5332,-0.0023,0.1137,-0.3305,-0.2793,-0.0051,0.0319,0.5024,0.0813,-5.3,0.0,1.7,0.0,-0.0007,0.005,0.0,0.0822,0.0167,0.132,-0.0013,-0.0053,0.0,0.0,0.0,0.0,0.0
2026-07-17,270.0,272.0,262.0,266.0,65524500,0.0014,-0.1259,0.0076,0.622,0.9513,0.678,-0.0539,0.0889,-0.3431,0.0135,-0.1433,-0.0011,-0.1607,-0.1247,0.0135,-0.0008,-0.0629,0.0091,0.111,-0.0001,0.0002,0.0251,-0.2647,-0.0014,1.1,0.849,0.0008,-0.4898,-0.0011,-0.0006,0.0291,-1.1,0.0265,0.953,-0.0003,-0.0698,-6.9,0.2706,0.0168,0.067,3.4,-0.0789,-0.0344,0.0176,0.004,0.6604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,268.0,276.0,268.0,270.0,73035000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,272.0,274.0,266.0,268.0,54145100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,270.0,276.0,268.0,272.0,29974500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,274.0,280.0,270.0,270.0,83091000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,270.0,272.0,266.0,272.0,36257100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
