Date,Close,High,Low,Open,Volume,DH,EP,AK,DX,ZP,OD,SS,GR,CP,HD,FS,CC,YP,DR,RO,SQ,NI,AZ,XC,BQ,PG,KK,PD,AT,XL,IF,TP,LG,YB,RB,AI,BK,YU,ES,QA,MG,XA,AG,YJ,KI,PP,HP,RF,BB,LS,PC,DD,PO
2026-07-13,605.0,610.0,575.0,585.0,5689600,-0.063,0.0005,-0.5985,-0.0004,-0.3753,-0.0579,0.0601,-0.2912,0.6655,-0.0009,-0.0012,-0.0265,0.0184,-0.0129,0.0009,-0.0525,-0.0288,-0.0001,-0.0232,-0.0015,-0.18,-0.0005,0.1895,-0.0001,0.1492,-0.0908,-0.0105,0.0216,-0.0176,0.0,0.891,-0.1233,0.0,0.0,0.0,0.0075,0.0,0.0,-0.0593,0.0061,-0.0006,0.0058,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,615.0,625.0,605.0,605.0,5370800,0.0001,0.0237,-0.4536,0.0,-0.0005,0.1187,-0.0379,-0.1237,-0.6107,-0.0002,-0.0006,-0.5635,0.0172,-0.0104,0.0003,0.0792,-0.0118,0.1549,0.0051,0.0027,-0.061,0.0039,0.0646,0.0031,1.3,0.0,-0.0157,-0.0096,-0.012,0.0,0.0,0.1034,0.0001,0.0,0.0,0.0062,0.0,0.0246,-0.0025,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,625.0,630.0,610.0,620.0,2803800,-0.0038,-0.0595,-0.1331,0.0,-0.0163,-0.0336,0.0,0.0311,-0.0001,-0.0003,-0.0006,-0.0052,0.0142,0.0003,0.0001,-0.0656,0.0277,-0.1573,0.0306,0.0563,-0.0625,0.0593,0.0341,0.0,-0.0258,-0.6293,-0.0087,0.001,-0.0081,0.0,0.937,0.0153,0.0341,0.0,0.0002,-0.0062,0.0001,-0.0248,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,625.0,630.0,615.0,630.0,4718300,0.0017,0.0001,-0.1152,0.0,-0.3864,0.0282,0.0,-0.7056,0.0,-0.0,0.0,0.3683,0.0202,0.0159,0.0002,0.0027,-0.0301,-0.0017,0.0577,-0.0153,0.0,0.0111,0.1051,-500.0,-0.1013,0.0,0.0256,-0.3347,0.0126,-0.0069,0.9375,0.0424,0.0241,0.0438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,635.0,635.0,615.0,625.0,3922300,0.0136,0.0057,-0.1372,0.0088,-0.2735,-0.0368,0.0009,-0.1234,-0.0294,0.0099,-0.0006,0.2236,0.0996,-0.0003,-0.0001,0.0354,0.005,-0.0045,0.0076,0.0003,-0.3722,0.2226,0.2085,-0.0004,0.1878,-0.6304,-0.0006,0.4989,0.0814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,635.0,650.0,625.0,635.0,5471000,0.0598,-0.0366,-1.3,0.0047,-0.0984,0.0288,0.0126,-0.2171,0.0061,-0.0101,0.0,0.6435,0.0598,0.0643,-0.0038,0.0441,0.006,-0.0356,0.0497,0.0001,-0.192,0.3375,0.1597,-0.0023,0.338,-0.3213,0.024,0.0049,0.1077,-0.0001,0.0,0.0676,0.0487,0.0,0.0,0.0,0.0034,0.0032,0.004,-0.0001,0.0,-0.0016,0.0,0.0,0.1166,0.0,0.0,0.0006
2026-07-21,615.0,640.0,615.0,635.0,6814400,0.0264,0.0632,-0.1175,0.0,0.7327,0.1449,0.0347,-0.858,-0.3079,-0.0,0.0,0.047,-0.1587,0.0594,0.0002,-0.0548,-0.0467,0.3302,0.2351,0.0025,-0.0625,0.1108,0.0516,0.0037,0.4487,0.0016,0.0051,0.0063,0.0982,0.0,0.0,-0.0266,0.0,0.0,0.0,0.0246,0.0382,0.0,-0.0039,0.0913,0.0,0.0069,0.0,-0.9347,0.0,0.0001,0.0075,0.0
2026-07-22,615.0,630.0,610.0,615.0,4147000,0.0208,0.0641,-0.0842,0.0004,-0.2115,-0.4775,0.0,0.1312,0.0121,-0.0001,0.0449,0.2331,0.1294,0.0132,0.0,0.2844,-0.1825,0.0883,0.0821,0.0597,-0.0284,0.0976,-0.3177,0.0006,0.2049,0.0,0.0123,-0.1469,0.0349,0.0,0.0,-0.0257,-0.03,0.0,0.0,0.005,-0.039,0.0061,0.0,0.0179,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0,0.0
2026-07-23,625.0,630.0,615.0,615.0,6496800,-0.0384,0.0103,0.705,0.0062,-0.3279,0.1035,0.0,-0.0629,0.1092,-0.0001,0.0,0.7301,0.024,0.0016,-0.0001,0.1015,-0.4574,0.2408,0.0903,0.1284,0.0,-0.2042,0.035,0.002,-0.8433,-0.31,0.0501,0.0081,0.0281,0.0,0.0,0.1057,-0.239,0.0186,0.0001,0.0,0.0,0.0,0.0,-0.0025,0.0,0.0,0.0,0.0,-0.0126,0.0,0.0,0.0
2026-07-24,610.0,625.0,600.0,625.0,5468000,0.0028,0.2862,-0.8711,0.0,-0.1468,0.1819,0.0021,0.0232,-0.0753,0.0,0.0,-0.4096,0.0624,-0.1316,0.0004,0.1002,0.0,0.138,0.0924,0.0199,0.0,0.3042,0.2735,-0.0018,0.3568,-0.0005,0.0001,0.0078,-0.0032,0.0,0.0,-0.0253,0.007,0.0,0.0,0.0,0.0018,0.0,0.0,0.0151,0.0,0.0,0.0605,-0.271,0.0,0.0,0.0,0.0
