Date,Close,High,Low,Open,Volume,XC,NI,YP,PD,OD,CC,XL,DH,XA,BQ,SQ,HD,KI,FS,KK,CP,GR,AK,EP,QA,YB
2026-07-13,930.0,935.0,895.0,935.0,11600,-0.0021,0.0004,0.0001,0.0,0.0001,0.0007,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0002,0.0,0.0002,0.0,0.0,0.0
2026-07-14,915.0,960.0,860.0,910.0,18600,-0.007,0.0,0.0002,0.0,-0.0,-0.0003,0.006,0.0,0.0,0.0001,0.0001,0.0,0.0,-0.0011,-0.0019,0.0,0.0039,0.0001,0.0,0.0,0.0
2026-07-15,895.0,925.0,885.0,925.0,29700,0.0001,0.0,0.0,0.0003,-0.0004,0.0125,-0.0031,0.0,0.0,-0.0052,0.0,0.0,0.0001,-0.0044,-0.0002,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-16,890.0,925.0,865.0,925.0,464700,0.0012,0.0001,0.0008,0.0008,0.0003,-0.0045,0.001,0.0003,-0.4036,-0.0,-0.0,0.4036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,910.0,920.0,875.0,920.0,9500,0.0001,0.0002,0.0001,-0.0006,0.0001,-0.0005,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,895.0,925.0,895.0,910.0,20900,0.0013,-0.0001,0.0018,0.0,0.0009,-0.0021,-0.005,0.0003,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,-0.0001
2026-07-21,935.0,935.0,895.0,920.0,455200,-0.0004,0.0022,0.0022,0.0002,-0.0009,0.0014,-0.0024,-0.0003,0.4014,0.0,0.0,-0.4014,-0.0001,-0.0045,0.0,0.0001,0.0,-0.0003,0.0029,0.0,0.0
2026-07-22,920.0,935.0,900.0,935.0,37400,0.003,0.0,-0.0011,-0.0001,-0.0003,0.0183,0.007,0.0,0.0,0.0,0.0,0.0,500.0,-0.0265,0.0,0.0,0.0,0.0,-0.0007,0.0004,0.0
2026-07-23,920.0,925.0,895.0,920.0,43800,0.0002,0.0,0.0027,-0.0,0.0001,0.0005,0.0122,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,-0.0136,0.0001,0.0,0.0,-0.002,0.0,0.0
2026-07-24,890.0,915.0,875.0,915.0,13800,0.0004,-0.0,0.0,0.0,0.0,-0.0092,0.0058,0.0,0.0,0.0012,0.0,0.0,-0.0001,0.0,0.0,0.0006,0.0,0.0,0.0012,0.0,0.0
