Date,Close,High,Low,Open,Volume,XC,SQ,KI,XL,YP,PD,DR,NI,QA,KK,BQ,CC,RO,AI,EP,OD
2026-07-13,162.0,171.0,160.0,171.0,81900,-0.0084,0.0,0.0,0.0037,-0.0029,0.001,-0.0001,-0.0,0.0,0.0004,0.0002,0.0,0.0,-0.0,0.0062,-0.0
2026-07-14,161.0,175.0,160.0,175.0,26000,-0.0001,0.0,0.0,-0.0017,0.0005,0.0011,0.0004,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-15,161.0,175.0,158.0,161.0,174200,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,-0.0001,-0.0,0.0001,0.0,0.0001,-0.0001,0.0,0.0,0.0
2026-07-16,158.0,164.0,156.0,156.0,29700,-0.0002,-0.0008,0.0,0.001,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,161.0,161.0,158.0,158.0,17400,-0.0,-0.0,-0.0,-0.0005,0.0006,0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,163.0,165.0,158.0,158.0,44300,,,,,,,,,,,,,,,,
2026-07-21,159.0,163.0,158.0,163.0,61900,,,,,,,,,,,,,,,,
2026-07-22,165.0,170.0,160.0,160.0,141600,,,,,,,,,,,,,,,,
2026-07-23,161.0,178.0,150.0,168.0,125700,,,,,,,,,,,,,,,,
2026-07-24,160.0,161.0,147.0,161.0,128700,,,,,,,,,,,,,,,,
