Date,Close,High,Low,Open,Volume,HD,NI,RO,CC,PD,BQ,OD,AZ,KI,MU,YP,YU,ES,XC,LG,KK,XL,CP,SQ,AI,DR
2026-07-13,166.0,166.0,163.0,164.0,105400,-300.0,-0.0005,0.0,-0.0014,0.0,0.0003,0.0001,0.0,0.0,0.0,-0.0001,0.0011,0.0,0.0005,0.0,0.0016,0.0036,-0.0051,0.0,0.0,-200.0
2026-07-14,166.0,168.0,163.0,166.0,85900,0.0,0.0,0.0,0.0033,0.0,0.0,0.0004,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0002,0.0001,-0.0004,-0.0033,0.0,0.0,0.0,0.0
2026-07-15,166.0,168.0,165.0,168.0,77900,-0.0,0.0,0.0,0.0028,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0022,-0.006,0.0,0.0,0.0,0.0
2026-07-16,167.0,169.0,166.0,168.0,9100,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0002,0.0,0.0,-0.0002,0.0,0.0,0.0001,0.0,0.0005,0.0,0.0
2026-07-17,167.0,178.0,163.0,167.0,393000,0.0,0.0,-0.0,-0.0121,0.0001,0.0033,-0.0017,-0.0,0.0017,0.0156,0.0002,-0.0012,0.0,-0.0024,0.0001,0.002,-0.0063,0.0008,0.0,0.0,0.0
2026-07-20,168.0,171.0,165.0,171.0,211100,,,,,,,,,,,,,,,,,,,,,
2026-07-21,168.0,169.0,166.0,166.0,94500,,,,,,,,,,,,,,,,,,,,,
2026-07-22,171.0,171.0,168.0,168.0,52000,,,,,,,,,,,,,,,,,,,,,
2026-07-23,176.0,179.0,170.0,171.0,368700,,,,,,,,,,,,,,,,,,,,,
2026-07-24,169.0,181.0,168.0,179.0,254600,,,,,,,,,,,,,,,,,,,,,
