Date,Close,High,Low,Open,Volume,XC,KK,IF,NI,XL,YP,DH,CC,PD,SQ,YB,LG,XA,PC,OD,KI,GR
2026-07-13,555.0,555.0,550.0,555.0,19800,0.0008,-0.0005,0.0001,-0.0001,-0.0043,0.0004,0.0,0.0004,-0.0008,0.0,0.0,0.0039,0.0,-0.0002,0.0,0.0001,0.0001
2026-07-14,555.0,565.0,545.0,550.0,12900,0.0009,0.0003,0.0,0.0026,-0.0014,-0.002,0.0,-0.0002,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
2026-07-15,565.0,570.0,555.0,560.0,83500,-0.0091,0.0001,0.0,0.0345,-0.0226,-0.0049,0.0,0.003,-0.0006,0.0,0.004,-0.0014,0.0,0.0,-0.003,0.0,0.0
2026-07-16,575.0,595.0,565.0,565.0,164700,-0.0096,0.006,0.0,0.0469,-0.0314,-0.0011,0.0,-0.0062,0.002,0.0001,-0.0041,-0.0015,0.0002,-0.0001,-0.0011,0.0,0.0
2026-07-17,575.0,580.0,560.0,580.0,160300,0.0003,-0.0003,0.0002,-0.0001,0.0189,0.0001,0.0147,0.0007,-0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,570.0,580.0,570.0,575.0,51600,,,,,,,,,,,,,,,,,
2026-07-21,575.0,575.0,570.0,570.0,58000,,,,,,,,,,,,,,,,,
2026-07-22,570.0,575.0,565.0,575.0,44300,,,,,,,,,,,,,,,,,
2026-07-23,560.0,565.0,550.0,565.0,116700,,,,,,,,,,,,,,,,,
2026-07-24,535.0,565.0,535.0,565.0,84600,,,,,,,,,,,,,,,,,
