Date,Close,High,Low,Open,Volume,EP,NI,CD,XA,PD,OD,BQ,AZ,GR,SQ,YP,XC,CC,XL,CP,KK,ZP,RF,IF,AG,YB,KI
2026-07-13,288.0,294.0,288.0,294.0,21600,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0003,0.0,0.0,0.0,-0.0009,-0.0005,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,292.0,294.0,288.0,288.0,21700,-0.0,-0.0,0.0005,0.0,-0.0,0.0012,0.0,0.0,0.0,0.0,0.0,-0.0017,-0.0032,0.0024,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0001
2026-07-15,298.0,300.0,292.0,292.0,168100,0.0003,-0.0008,0.0,0.0062,0.0028,0.0001,0.0,-0.0006,0.0,0.0,0.0037,-0.0093,-0.0077,-0.0038,0.0064,0.0022,0.003,-0.0001,0.0042,0.0003,-0.0069,0.0
2026-07-16,296.0,300.0,294.0,298.0,15700,0.0001,-0.0,0.0,0.0,0.0005,-0.0021,0.0003,-0.0004,0.0,0.0,-0.0006,0.0001,0.001,0.0005,0.0006,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,306.0,308.0,298.0,302.0,90800,-0.001,-0.0024,-0.0005,0.0091,-0.0,-0.0027,-0.0007,-0.003,0.0016,-0.0,-0.0002,200.0,-0.0023,-0.001,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,312.0,314.0,302.0,302.0,19500,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,310.0,314.0,306.0,314.0,23600,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,308.0,314.0,300.0,314.0,23500,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,308.0,312.0,306.0,312.0,51200,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,300.0,304.0,298.0,304.0,30800,,,,,,,,,,,,,,,,,,,,,,
