Date,Close,High,Low,Open,Volume,XC,SQ,RO,YB,XA,KK,HP,OD,EP,XL,YP,DH,PD,DR,QA,TP,NI,CP,CC,LG,RG,MU,LS
2026-07-13,31.0,31.0,31.0,31.0,176800,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,31.0,31.0,31.0,31.0,2155600,-0.0003,0.0001,0.0,-0.0001,-0.0016,0.0,0.0,0.0001,-0.0001,0.0591,-0.0186,0.0,0.0031,0.0,0.0,0.0,0.0,-0.0047,-0.0012,0.0,-0.0155,-0.0136,-0.0068
2026-07-15,31.0,33.0,31.0,32.0,288800,-0.0016,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0,-0.0006,0.0046,-0.0013,0.0,-0.0005,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,30.0,31.0,29.0,31.0,428200,0.0004,0.0,-0.0,0.0,-0.0009,0.0002,0.0,0.0001,0.0,0.0013,0.0,-0.0052,0.0038,0.0,0.0,0.0,0.0,-0.0013,0.0015,0.0,0.0,0.0,0.0
2026-07-17,29.0,30.0,29.0,29.0,560300,0.0059,0.0029,0.0,-0.0,-0.0015,0.0,0.0,0.0,-0.0003,-0.0087,-0.0001,0.0015,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,28.0,29.0,28.0,28.0,1186300,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,29.0,29.0,28.0,28.0,1023700,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,30.0,31.0,29.0,29.0,388800,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,30.0,30.0,30.0,30.0,403100,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,30.0,30.0,29.0,29.0,193800,,,,,,,,,,,,,,,,,,,,,,,
