Date,Close,High,Low,Open,Volume,CD,XC,OD,PD,AK,YP,SQ,DR,NI,XL,CC,EP,KI,KK,ZP,BK,LS,MG,CP,GR,XA,OK,AI,PG,AZ,RO,DH,FZ,DX
2026-07-13,5100.0,5200.0,5075.0,5125.0,18900,0.0,0.0189,0.002,0.0113,0.0005,-0.0292,0.0005,0.0005,0.0005,-0.0138,-0.0031,0.0,0.0,0.0056,-0.0005,0.0,0.0,0.0,0.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,-0.0005,0.0052,-0.0143
2026-07-14,5200.0,5200.0,5100.0,5125.0,72000,0.0,-0.0089,0.001,0.0041,-0.0123,0.1433,0.0,0.0,-0.0036,-0.1,-0.0609,0.0,0.0052,0.0,0.0104,0.0,0.0,-0.0051,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0047,0.0052,0.0
2026-07-15,5400.0,5400.0,4860.0,5275.0,132400,0.0,-0.0841,0.0101,-0.0445,-0.0107,0.1151,-0.0027,-0.0096,0.0261,-0.0139,0.0095,-0.0005,0.0,0.0096,-0.0016,-0.001,0.0,0.0,-0.0378,0.0011,0.0,0.0,0.0323,0.0,0.0,-0.0021,0.0049,0.0,0.0
2026-07-16,5500.0,5725.0,5425.0,5475.0,95900,0.0171,0.0023,-0.0078,-0.0162,0.0,0.0719,0.005,-0.013,-0.0298,-0.0556,0.1175,-0.0055,0.0,0.0429,0.0005,-0.0017,0.0,0.0,-0.072,0.0098,-0.0278,-0.0359,0.0394,-0.0164,-0.0131,-0.0076,-0.0039,0.0,0.0
2026-07-17,5475.0,5650.0,5475.0,5475.0,42300,-0.0017,0.0017,-0.0006,0.0022,0.0022,0.0916,0.0076,0.0011,0.0079,-0.0282,-0.0431,-0.0005,-0.0123,-0.0369,-0.0011,-0.0067,0.0056,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,5500.0,5525.0,5450.0,5500.0,34100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,5550.0,5625.0,5450.0,5450.0,68500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,5475.0,5550.0,5400.0,5550.0,42800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,5600.0,5600.0,5475.0,5475.0,79200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,5600.0,5650.0,5450.0,5600.0,45500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
