Date,Close,High,Low,Open,Volume,NI,PD,BQ,OD,AZ,QA,KI,YP,YU,JB,XC,LG,CC,XL,IF,FS,DR,SQ,KK,CP,ZP,RO,GR,AG,YB,LS,EP,MG,HP,TP
2026-07-13,97.0,100.0,96.0,98.0,588000,0.0009,0.0016,-0.0056,0.0003,0.0,-0.0,0.0,-0.0018,0.0,0.0,0.0001,0.0,-0.003,0.0071,0.0,0.0,0.0,-0.0014,0.0,0.0,0.0,-0.0,0.002,-0.0001,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,99.0,100.0,96.0,98.0,396200,0.0017,0.0052,0.001,0.0001,0.0,0.0,0.0,-0.0007,0.0,0.0,0.0041,0.0,0.0026,0.0008,0.0,-0.0181,0.0,0.0035,0.0,0.0,0.0,-0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,95.0,99.0,95.0,99.0,162800,-0.0,0.0,0.0,0.0035,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0027,0.0,0.0,-0.007,0.0,0.0,0.0,0.0014,-0.0001,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,96.0,99.0,91.0,98.0,482000,0.0,0.001,-0.0019,0.0022,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0046,0.0,-0.0,-0.0072,0.0039,-0.0122,0.0002,0.0051,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,97.0,97.0,93.0,95.0,212800,-0.0009,-0.0026,0.0,0.0003,-0.0,0.0,0.0,-0.0008,0.0004,0.0,-0.0004,-0.001,0.0132,-0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,97.0,98.0,95.0,97.0,147200,0.0,0.0016,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0003,0.0015,0.0,0.0,0.0,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,96.0,100.0,95.0,97.0,504300,-0.0,0.0007,-0.001,0.0051,-0.0005,0.0,0.0,-0.0005,0.0,-0.0,-0.0041,0.0,-0.0049,0.0025,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0002,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.001
2026-07-22,96.0,101.0,96.0,98.0,466300,-0.0,0.0015,-0.0033,-0.005,0.0005,0.0,0.0,-0.0041,0.0,0.0,0.0029,-0.0075,-0.0002,0.0024,0.0,0.0,0.0,0.0146,-0.0,0.0,0.0,-0.0002,0.0,0.0,-0.0015,0.0,0.0,0.0,0.0,0.0
2026-07-23,101.0,109.0,98.0,98.0,7389500,-0.0032,-0.0018,-0.0015,-0.0135,0.0,0.0,0.0,0.0522,-0.0015,0.0,0.0046,-0.0075,0.0437,0.1743,0.0,-0.2202,0.0021,-0.0087,-0.0052,-0.0011,-0.0074,0.0,-0.0054,0.0,0.0001,0.0,-0.0,0.0001,-0.0,0.0
2026-07-24,95.0,102.0,90.0,101.0,1098400,0.0015,0.0045,0.0028,-0.001,0.0,0.0,0.0,0.0051,0.0001,0.0,0.0011,0.002,-0.0003,-0.0183,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
