Date,Close,High,Low,Open,Volume,NI,HD,RO,XA,IN,OD,YB,DR,SQ,YP,YU,ES,XC,LG,KK,AK,XL,FS,AT,ZP,SA,EP,TP,DH,PD,BQ,AZ,IF,MG,LS,BS,GR,CC,CP,KI,AO,QA,HP,YJ
2026-07-13,110.0,110.0,108.0,109.0,543600,-0.0006,-0.0002,0.001,0.0,0.0,0.0089,0.0,0.0,-0.0008,-0.0011,-0.0,0.0,-0.0217,0.0002,-0.0079,0.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.0001,0.0108,0.0037,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,0.0019,0.0,0.0,0.0,0.0,0.0
2026-07-14,109.0,110.0,107.0,109.0,2528400,0.0114,-0.0001,0.0001,0.0,0.0,0.0019,-0.0865,0.022,0.0004,-0.015,0.0,0.0,0.0007,0.0,0.0254,0.0037,0.053,0.0,0.0,0.0027,0.0,0.0,-0.0005,0.0012,-0.0023,0.0,0.0009,0.0,0.0,0.0,0.0,-0.0118,-0.0074,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,107.0,109.0,106.0,109.0,3910300,0.0028,-0.0,0.0,0.0002,0.0,-0.0145,0.0,0.0001,0.0001,-0.1344,0.0,0.0,0.0011,0.0008,0.0552,0.0112,0.1642,0.0,0.0002,0.0,0.0,0.0,-0.0002,-0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,-0.1157,0.0142,0.0,0.0016,0.0,0.0,0.0
2026-07-16,108.0,109.0,106.0,107.0,4588100,-0.0283,-0.0,0.0003,0.0,0.0,-0.0013,0.0,0.0003,0.1144,-0.0496,-500.0,0.0,-0.0306,-0.0001,0.1101,0.0013,0.0344,0.0,0.0002,0.0,0.0,0.0,-0.0014,0.0041,0.0295,0.0058,-0.0,0.0,0.0108,0.0,0.0,0.0011,-0.06,0.0018,-0.1428,0.0,0.0,0.0,0.0
2026-07-17,113.0,116.0,106.0,108.0,17617100,0.0577,0.0001,-0.0015,-0.0008,-0.0001,-0.0225,0.0507,0.0475,-0.0043,-0.0249,0.0068,0.0,-0.076,0.0154,-0.171,0.0149,-0.0317,-0.0006,-0.0003,-0.0132,-0.0002,0.0351,-0.0079,-0.0036,-0.019,0.0033,0.0207,0.0012,-0.0114,0.0004,-0.0002,0.0084,0.0482,0.0787,0.0,0.0,0.0,0.0,0.0
2026-07-20,113.0,115.0,112.0,114.0,2954000,0.0573,-0.0002,0.002,-0.0002,0.0,-0.0007,-0.0002,0.0202,-0.0006,-0.0096,0.009,0.0,-0.0306,-0.0036,0.0057,0.0016,-0.0244,0.0,0.0004,0.0283,0.0,-0.031,0.0002,0.0001,0.0082,-0.0058,0.0,0.0,0.0,0.0,0.0,-0.0079,0.002,-0.0225,0.0,0.0,0.0,0.0,0.0023
2026-07-21,116.0,116.0,109.0,113.0,6997100,-0.0811,0.0,-0.0008,0.0,0.0,-0.0179,-0.0034,0.0275,-0.0693,0.0116,-0.0045,0.0,-0.0042,0.0,-0.028,-0.0005,0.1182,0.0,0.0003,0.0296,0.0,-0.0029,0.0,-0.005,-0.0102,-0.0055,-0.0002,-0.0,-0.0006,0.0,-0.0,0.0001,0.1109,-0.0644,0.0,0.0,0.0,0.0,0.0
2026-07-22,114.0,116.0,113.0,116.0,4601700,-0.2388,0.0,-0.0,0.0,0.0,0.0008,0.0005,0.0073,0.0023,-0.0767,0.0,0.0,-0.0075,0.0009,0.0,0.0023,0.3138,-0.0006,0.0002,-0.0006,0.0,-0.0023,-0.0003,0.0,-0.0177,0.0,-0.0011,0.0,0.0,-0.0046,0.0,0.0035,0.0182,0.0032,-0.0012,-0.0017,0.0,0.0,0.0
2026-07-23,113.0,116.0,112.0,114.0,3110700,0.0218,-200.0,0.0,0.0,0.0,-0.0003,0.0,-0.0358,-0.0035,0.0087,-0.0057,0.0,0.0132,0.0,0.006,0.0016,0.103,0.0,0.0007,0.0102,0.0,0.0011,0.0002,0.0,-0.0016,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,-0.1521,0.0289,0.0,0.0017,0.0,0.0011,0.0
2026-07-24,109.0,113.0,109.0,112.0,2282000,-0.0255,0.0001,0.0002,0.0,0.0,-0.0004,0.0,-0.0521,0.0049,-0.0125,0.0109,0.0,0.011,0.0048,-0.0001,0.0023,0.0879,0.0006,0.0001,0.0006,0.0,0.0017,0.0006,0.0033,0.0215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0604,0.0003,0.0,0.0003,0.0,0.0,0.0
