Date,Close,High,Low,Open,Volume,ZP,XA,CC,PD,OD,IU,YB,YP,HP,XC,KK,XL,AT,NI,BQ,LG,RO,DU,KI,PO,SQ,CP,EP,IN
2026-07-13,50.0,50.0,50.0,50.0,117800,0.0,0.0,0.0,0.0001,0.0,-0.0019,0.0,0.0005,0.0,0.0007,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039,0.0,0.0
2026-07-14,50.0,50.0,50.0,50.0,156900,0.0,-0.0077,0.0,0.0021,0.0,0.0,0.0,0.0002,0.0,0.0004,0.0001,0.0037,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002
2026-07-15,50.0,50.0,50.0,50.0,215400,0.0,0.0,0.0,0.0001,0.0,-0.0008,0.0,0.0023,0.0,0.0003,0.0,0.0076,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0098,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,257400,0.0,-0.0105,0.0073,0.0001,0.0,-0.0007,0.0,0.0,0.0,0.0014,0.0,0.002,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,50.0,50.0,50.0,312700,0.0,-0.0156,0.0,0.0008,0.0,-0.0002,0.0,0.0079,0.0,0.0004,0.0001,0.0065,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,173100,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,50.0,50.0,50.0,50.0,482000,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,50.0,50.0,50.0,50.0,983300,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,50.0,50.0,50.0,50.0,1811300,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,50.0,50.0,50.0,50.0,78000,,,,,,,,,,,,,,,,,,,,,,,,
