Date,Close,High,Low,Open,Volume,PD,XL,CC,YP,RO,XC,SQ,TP,OD,YU,KK,AK,EP,NI,IF,XA,AZ,LG
2026-07-13,2270.0,2270.0,2220.0,2250.0,111200,0.0,-0.0288,-0.2025,0.0009,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0004,-0.0059,0.0,0.0,0.0438,-0.0002,-0.0002,0.1931
2026-07-14,2260.0,2290.0,2260.0,2270.0,11100,-0.0002,-0.0009,0.003,0.0013,0.0,-0.0002,0.0,0.0,0.0,0.0,-0.0032,0.0,0.0,0.0002,0.0,0.0,0.0,0.0
2026-07-15,2290.0,2320.0,2270.0,2280.0,55500,0.0014,-0.0247,-0.0335,-0.0078,0.0,-0.0076,0.0,0.0,0.0,0.0797,0.0,-0.005,-0.0002,-0.0023,0.0,0.0,0.0,0.0
2026-07-16,2310.0,2310.0,2290.0,2290.0,21600,-0.0005,0.0086,-0.0159,-0.0012,0.0,-0.0037,0.0,0.0062,0.0005,0.0057,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2300.0,2320.0,2300.0,2310.0,11200,-0.0002,-0.0051,0.0062,0.0046,0.0014,0.0002,-0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2310.0,2310.0,2270.0,2300.0,33600,,,,,,,,,,,,,,,,,,
2026-07-21,2290.0,2310.0,2280.0,2310.0,13400,,,,,,,,,,,,,,,,,,
2026-07-22,2300.0,2300.0,2280.0,2290.0,1800,,,,,,,,,,,,,,,,,,
2026-07-23,2330.0,2450.0,2310.0,2310.0,64700,,,,,,,,,,,,,,,,,,
2026-07-24,2290.0,2330.0,2230.0,2330.0,12200,,,,,,,,,,,,,,,,,,
