Date,Close,High,Low,Open,Volume,XC,SQ,QA,LG,XA,AZ,KK,CP,PC,ZP,AT,AD,AI,AK,XL,YP,DH,BK,AG,OD,DX,EP,CC,MG,TP,YB,HD,NI,BQ,IF,RX,GR,PD,HP,CD,RO,DR,YU,IH,BB,KI,RF,YJ,FS,LS,AO,RS,IU
2026-07-13,1430.0,1455.0,1360.0,1410.0,9968700,0.0607,1.8,0.0,-0.2993,-0.002,0.0157,0.0544,0.1266,0.0,-1.1,0.0,0.0,0.0,-0.8483,2.1,1.0,-0.0201,-1.6,-0.0099,0.0579,0.0055,0.0053,-1.1,0.041,-0.0071,0.0421,-0.0925,0.2562,-0.001,-0.0001,0.0,0.0214,-0.1175,0.0096,0.0,0.0285,0.1201,0.0049,-0.0026,2.8,-3.4,0.0,-0.0001,0.0,0.0,0.0011,-0.0071,0.0014
2026-07-14,1425.0,1470.0,1410.0,1460.0,7913000,0.1726,0.2659,0.0,-0.034,0.0036,0.0126,0.0043,0.0036,-0.0002,0.139,0.0171,0.0,0.0485,-0.5163,-0.3556,0.449,-0.0187,-0.7069,-0.0002,0.334,-0.0122,0.0309,-0.269,0.2847,0.0183,-0.018,0.0138,-0.2109,0.0059,0.0016,0.0,0.0937,0.1931,-0.0105,0.0,0.0091,-0.0629,-0.0014,0.0,0.0,-0.0008,0.0,0.0001,0.0,0.0726,0.0435,0.0,0.0
2026-07-15,1455.0,1465.0,1415.0,1445.0,6675100,0.2241,0.1681,0.0,-0.52,0.0029,-0.0386,-0.0873,-0.1273,-0.0003,-0.3954,0.0002,0.0,0.0,2.4,-1.2,-0.0109,0.0061,-0.6253,0.0,0.1815,-0.0072,0.0105,0.632,-0.2633,-0.0003,-0.0265,-0.0102,0.1269,0.0139,0.0036,0.0,0.0113,-0.0644,0.0014,0.0,0.0,-0.0119,-1.4,-0.001,1.0,0.0,-0.0013,0.0001,0.0007,0.0,0.0,0.0,0.0
2026-07-16,1450.0,1465.0,1420.0,1465.0,5497000,0.0228,-0.0183,0.0001,-0.1395,0.029,0.0696,-0.3893,0.0523,-0.0001,-0.0641,-0.0068,0.0,0.0,-1.1,0.7022,-0.1323,0.0476,0.4744,-0.0,0.2915,-0.0036,-0.0016,-0.4563,-0.1147,0.0146,0.0252,0.0086,0.0818,-0.0007,0.0013,0.0,0.0073,0.0798,0.0087,0.1037,-0.0367,-0.0001,-0.2083,-0.0003,0.9847,-0.6184,0.29,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1445.0,1460.0,1400.0,1460.0,6132900,0.1408,0.6724,0.0006,-0.0024,0.0709,-0.0566,0.0241,-0.2147,-0.0004,0.0176,-0.0016,0.005,0.0431,-1.2,1.2,0.033,0.0634,-0.5129,-0.4319,-0.4003,-0.0108,-0.0069,-0.7504,-0.0969,-0.0035,0.0552,-0.0006,0.0461,0.0442,0.0033,-0.3816,0.0658,-0.0,0.0226,0.0144,0.0301,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1515.0,1520.0,1445.0,1445.0,11597500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1575.0,1575.0,1500.0,1515.0,14516100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1560.0,1635.0,1535.0,1580.0,20231900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1560.0,1645.0,1535.0,1560.0,27958600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1465.0,1550.0,1465.0,1540.0,12873800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
