Date,Close,High,Low,Open,Volume,XC,YU,LG,IH,AZ,MI,XA,AT,AK,EP,YP,DH,CC,YB,NI,BQ,IU,TF,HD,SQ,KK,LS,CP,ZP,KI,OD,BK,AI,XL,AG,MG,TP,IF,GR,FS,HP,PD,DR,RS,QA,YJ,DX,SH,FZ,AO,BR,CD,RO,PG,PC,YO,SS,RG,SF,II
2026-07-13,770.0,770.0,735.0,745.0,4435300,0.1703,0.0232,-0.0071,0.0,0.1171,0.0,0.0,-0.0037,0.266,-0.0071,-0.0093,0.024,-0.5891,0.0629,0.0369,-500.0,-0.0038,0.0,-0.0001,-0.1286,0.0631,-0.0011,0.0629,-0.1105,-0.0012,-0.0002,0.1594,-0.0092,0.0563,0.0005,0.0979,-0.0517,0.0038,-0.04,0.0238,-0.0097,-0.1322,-0.0234,0.0,-0.0001,0.0004,0.0,0.0,0.0,-0.0353,0.0,0.0,-0.0002,0.0001,-0.0001,0.0,0.0,0.0,0.0011,-0.0059
2026-07-14,780.0,800.0,775.0,790.0,5480800,0.1271,-0.2295,0.0005,0.0,-0.0104,-0.0795,0.0,-0.0053,0.0168,0.0086,-0.0743,-0.2176,-0.0707,-0.0186,0.0584,-0.0266,-0.0139,0.0,0.0182,-0.0385,-0.1036,0.0039,0.0221,0.2201,0.1177,0.0476,0.0545,0.0157,-0.2603,0.0027,0.1585,0.3798,0.0043,-0.0066,-0.0008,-0.001,0.2172,-0.0255,0.0,0.0,0.0008,-0.0016,0.0,0.0,-0.113,0.0,0.0,-0.001,0.0,-0.007,-0.0109,-0.1388,-0.0196,0.0,0.0
2026-07-15,795.0,800.0,780.0,780.0,3392200,0.0872,0.0053,-0.0137,0.0,0.6818,-0.0013,-0.004,0.019,-0.0433,0.011,0.0111,0.0095,-0.1349,-0.0586,0.059,0.0,0.0,0.0,-0.0183,-0.0179,-0.0995,-0.1659,0.072,-0.0008,-0.1128,-0.0298,0.1612,-0.0795,-0.3383,0.0,-0.028,0.0581,0.079,0.019,-0.0008,0.0,-0.1244,-0.0046,0.0,0.0,0.0043,0.0,0.0012,0.0,0.0,0.0,0.0,-0.0024,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,825.0,825.0,790.0,795.0,7455700,-1.3,0.0972,-0.0148,0.0,0.0408,0.12,-0.3093,-0.003,-0.1867,0.01,-0.2794,-0.0383,-0.1474,-0.0529,-0.0088,0.0047,0.0,0.0103,0.0105,-0.0792,0.0727,-0.0004,1.2,0.1656,0.6446,0.0338,0.1213,0.01,-0.6703,-0.0037,0.1162,0.4822,0.0005,-0.0051,-0.0016,-0.0084,-0.3483,-0.018,-0.0004,-0.0185,-0.0836,0.0043,0.0825,-0.0021,0.0016,-0.0058,0.2846,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,830.0,835.0,810.0,825.0,5363600,0.2843,-0.1496,-0.0135,-0.0413,-0.0471,0.04,-0.0225,-0.0032,-0.2934,0.0184,-0.448,-0.0147,0.0117,-0.0986,-0.0355,-0.0013,-0.0021,0.0036,-0.0115,-0.0296,0.0223,-0.0083,0.9896,0.0797,-0.2501,-0.0675,-0.1802,-0.0876,0.3069,-0.002,-0.0332,0.3088,0.0007,-0.0559,-0.0008,0.0112,-0.1836,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,845.0,860.0,830.0,830.0,5362200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,845.0,860.0,840.0,845.0,6521400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,830.0,855.0,825.0,845.0,7159400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,850.0,875.0,835.0,835.0,16293300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,810.0,850.0,800.0,850.0,10151100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
