Date,Close,High,Low,Open,Volume,XC,SQ,YJ,AZ,XA,KK,CP,ZR,KI,OD,DX,AG,XL,YP,AT,CC,TP,YB,BQ,NI,AO,GR,PD,RO,QA,LG,YU,PC,EP,DH,MG,CD,IF,HP,HD,DR,MI,ZP,AD,BR
2026-07-13,133.0,140.0,132.0,136.0,116600,0.0027,0.0003,0.0,0.0,0.0,0.0001,-0.0003,0.0,0.0002,0.0002,0.0,-0.0001,-0.0025,-0.0028,0.0,-0.0001,0.0,-0.0003,0.0,0.0001,0.0,0.0,0.0024,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2026-07-14,133.0,146.0,132.0,136.0,957100,-0.0071,0.0042,0.0,0.0,0.0,0.0033,0.0028,0.0,0.0,-0.0009,0.0,0.0001,0.0008,0.0013,0.0,-0.0174,0.0004,0.0,0.0001,0.015,0.0,0.0,-0.0012,0.0,-0.0001,0.0,0.001,0.0,0.0,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,0.0,0.0
2026-07-15,179.0,179.0,133.0,133.0,25815600,0.0133,0.0004,0.0,0.0023,0.0086,-0.1214,-0.0035,0.0,-0.0002,-0.0575,0.0,-0.001,0.1589,-0.0004,-0.003,0.0018,-0.0001,0.0088,0.0106,-0.0393,-0.0005,0.0119,-0.0354,-0.0002,-0.0,-0.0003,0.0228,0.0,-0.0056,-0.0015,0.0162,0.0,0.0,0.0002,0.0,0.0148,-0.0006,0.0,-0.0,-0.0002
2026-07-16,165.0,179.0,160.0,179.0,7247800,0.0467,-0.0037,0.0033,-0.0024,-0.0863,-0.0108,0.0137,0.0,0.0004,0.0761,0.0,0.0005,-0.0708,0.017,0.0004,0.0014,0.0007,0.0046,0.008,-0.0014,0.0,-0.0018,0.0132,0.0008,0.0,0.0,-0.0255,0.005,-0.0002,0.0059,-0.0179,0.0001,-0.001,-0.0001,0.081,-0.057,0.0,0.0,0.0,0.0
2026-07-17,166.0,171.0,165.0,166.0,1729900,-0.0047,0.0063,-0.0034,0.0,-0.0002,-0.007,-0.0041,0.0017,0.0001,0.0254,0.0034,0.0001,0.0007,0.0042,-0.0002,0.0031,-0.0003,0.011,-0.0192,-0.0094,-0.0,-0.0004,-0.0069,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,164.0,166.0,160.0,165.0,639800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,164.0,169.0,160.0,164.0,1713800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,164.0,168.0,163.0,164.0,242800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,163.0,165.0,161.0,162.0,541700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,163.0,169.0,160.0,163.0,833000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
