Date,Close,High,Low,Open,Volume,XL,PD,YU,EP,XC,CP,MG,SQ,CD,DH,MI,NI,BQ,AO,BK,RO,LG,QA,GR,YB,YP,AK,CC,ZP,AR,OD,KK,PC,HP,KI,XA,AT,YJ,DR,LS,AZ,IF,TS,TP,AI
2026-07-13,326.0,336.0,314.0,330.0,3008100,0.3526,-0.0331,0.0048,-0.0009,-0.2075,0.0,0.0,-0.0044,0.0,-0.0024,0.0,0.0151,0.0003,0.0,0.0021,-0.0,0.0099,0.0,0.0502,-0.0,-0.1228,-0.0147,-0.0453,-0.0162,0.0,0.0019,-0.0032,-0.002,0.0,0.0,0.0223,0.0,0.0,-0.0162,0.0,0.0,0.0,0.0,0.0095,0.0
2026-07-14,322.0,336.0,320.0,332.0,5764100,0.1666,0.0236,-0.0033,0.0,0.1534,0.0302,0.0,0.0621,0.0,0.0012,0.0,0.1069,0.189,0.0,-0.0096,0.0,-0.2358,0.0001,0.0637,0.007,-0.3088,0.0439,-0.1603,0.0,0.0,-0.0696,-0.0025,0.0,0.0,0.0,0.0013,-200.0,0.0,0.0,0.0016,-0.0635,0.0,0.0161,-0.0137,0.0001
2026-07-15,324.0,330.0,318.0,324.0,3335700,0.1422,-0.0853,-0.0049,0.0,0.0326,0.015,0.0,-0.0014,0.0,0.013,0.0,-0.0005,0.0215,0.0,-0.0068,0.0,-0.0053,0.0035,0.0008,-0.0174,-0.276,0.0868,-0.1788,0.0027,0.0322,0.1448,0.1191,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0097,-0.0483,0.0002,0.0,0.0,0.0
2026-07-16,330.0,348.0,314.0,326.0,10147100,0.7705,-0.9525,-0.0003,0.0048,0.0022,0.0019,-0.0008,-0.0537,0.0,0.0015,0.0082,0.0687,-0.0069,-0.0035,0.0555,-0.1067,-0.4542,-0.0033,-0.0011,-0.0065,-0.4751,0.2242,0.7233,0.0075,0.0324,0.0112,0.0708,-0.007,0.0001,-0.0006,0.024,0.0019,0.0105,0.053,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,320.0,332.0,318.0,332.0,3408400,0.2082,0.0557,0.0032,-0.0008,0.0247,0.0172,0.0011,-0.002,0.0006,0.0223,0.0113,0.0263,0.0034,-0.0065,-0.0075,0.0003,-0.042,-0.0002,0.0292,0.0067,-0.1974,0.0145,-0.162,-0.0003,0.0646,-0.0869,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,324.0,328.0,314.0,320.0,3765400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,354.0,364.0,318.0,324.0,18162500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,358.0,384.0,352.0,356.0,19823000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,368.0,386.0,348.0,360.0,15481300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,342.0,364.0,332.0,364.0,7979700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
