Date,Close,High,Low,Open,Volume,BB,CP,GR,YJ,XL,CC,DR,IF,PD,YP,AO,EP,AG,KK,AT,DX,XC,SQ,TP,OD,QA,BQ,RX,AK,NI,YU,PG,AZ,YB,IU,ZP,LG,HP,HD,RO,DH,MG,XA,KI,GI,ES,AI,KZ,PF,RG,FS,PC,CD,BK,LS,ID
2026-07-13,280.0,280.0,272.0,276.0,6267800,0.0,0.1693,0.0193,-0.0001,-0.1957,0.6637,0.0282,0.0006,-0.1104,0.0361,0.0,0.0356,0.0,-0.0082,0.0001,-0.0,-0.0427,-0.004,-0.0273,-0.1083,-0.0001,-0.0022,0.0,-0.1774,0.047,-0.0353,0.0,-0.1125,0.001,-0.0028,-0.0291,0.0001,-0.0,-0.0011,-0.0006,-0.1605,0.0,0.0,-0.0001,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,-0.0,0.0036,0.0,0.014,0.0014
2026-07-14,282.0,288.0,280.0,282.0,7358100,0.0,-0.0671,0.0458,0.0,0.3584,0.2862,0.1216,0.0004,-0.0583,0.021,0.0,0.0722,0.0,-0.0077,0.0012,-0.0001,0.0134,0.0048,0.0,-0.035,0.0,0.0076,-0.3679,-0.0606,0.0112,-0.1952,0.0,0.0034,0.0,0.0,-0.2565,-0.0006,-0.0509,0.0008,-0.0003,0.2642,-0.0282,-0.0002,0.0016,0.0,-0.0014,0.0,0.0,0.0,0.0006,-0.0855,0.0,0.0014,-0.0,-0.0006,0.0
2026-07-15,282.0,288.0,282.0,286.0,4704100,-0.253,-0.0337,0.0144,0.0001,0.1447,0.1413,0.0001,-0.0007,0.0319,0.0507,0.0,-0.0766,-0.0,-0.0425,0.0007,-0.0004,0.1069,0.0077,0.0001,-0.0019,0.0001,0.0018,0.0,-0.1856,0.1107,-0.0142,0.0,-0.0012,0.0,-0.0029,-0.1125,0.004,0.0,-0.0011,0.0006,0.0007,0.0,0.0001,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0003,0.0282,0.08,0.0,0.0,0.0,0.0
2026-07-16,286.0,288.0,282.0,288.0,3339600,0.0,-0.0238,0.0034,-0.0001,0.1831,0.0109,0.0007,-0.0003,0.0087,0.1139,0.0,-0.0209,0.0,-0.0062,-0.0005,0.0,-0.027,-0.0052,0.0001,0.007,0.0001,-0.0102,0.0,-0.0139,-0.0409,-0.0097,0.0,-0.007,0.0,0.0,-0.151,-0.0156,0.0,-0.0,0.0001,0.041,0.051,-0.0,-0.0036,-0.0001,-0.0014,-0.0029,-0.1027,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,290.0,290.0,284.0,290.0,4318500,-0.2523,-0.0233,-0.0085,-0.0,0.4665,0.1199,0.0107,0.0099,-0.0124,-0.0656,0.0244,-0.0246,0.0001,-0.0055,0.0036,0.0001,-0.0081,-0.0105,0.025,-0.0181,0.0008,-0.0,-0.219,-0.0186,-0.0223,0.072,-0.0144,0.033,0.0029,-0.0029,-0.0008,0.0106,-0.0004,0.0016,0.0053,0.0012,-0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,292.0,298.0,290.0,292.0,9284600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,300.0,300.0,294.0,296.0,6113800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,294.0,302.0,290.0,300.0,9113200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,298.0,306.0,296.0,296.0,18108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,296.0,298.0,292.0,298.0,7632500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
