Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,HD,RB,OD,YB,RS,DR,SQ,YP,YU,XC,LG,KK,XL,AK,YJ,AT,SA,TF,EP,ZP,DH,TP,PD,BQ,AZ,RG,IF,PC,GR,CC,AO,DX,CP,PG,HP,AI,MG,IN,RF,CD,PP,LS,AG,PI,ES,BB,MI,AF,FS,PO,KI,KZ,SH,BR,ID
2026-07-13,4150.0,4200.0,4100.0,4180.0,1961500,0.0616,-0.014,-0.004,0.0123,0.1654,0.0,-0.031,0.0033,0.0,-0.0544,-0.0711,-0.3621,3.1,-0.0454,-0.0076,0.0622,0.1184,-0.5239,0.832,-0.0021,0.0,0.0008,0.0004,-0.421,0.0223,-0.0515,0.3163,-0.0025,0.0004,0.0,-2.4,0.0,0.0232,-0.391,0.0,-0.0053,-0.1737,-0.0836,0.0,-0.0049,-0.0095,0.0,0.0,0.0,0.0,-0.1253,0.0164,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,4160.0,4180.0,4080.0,4170.0,1583200,-0.1475,-0.8902,-0.0075,-0.0934,0.0409,0.0,-0.438,-0.8126,0.0,0.0165,0.0789,0.0129,0.8777,-0.0143,-0.0251,-0.0877,0.0214,1.5,0.7726,-0.0173,0.0,0.0008,0.0208,0.0348,0.0041,-0.0978,-0.5703,0.0058,0.0,0.0021,0.002,0.0,-0.0822,0.2119,0.0,0.0,-0.0202,-0.2872,0.0,-0.0075,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,4160.0,4270.0,4140.0,4160.0,652600,-0.0524,0.0373,0.0,-0.0271,-0.0055,0.0,-0.0136,-0.0502,0.0,-0.003,-0.0523,-0.3102,-0.0167,-0.119,0.0043,-0.1018,0.1703,0.6836,0.6057,0.0004,0.0,0.0008,-0.0004,0.0087,-0.0057,-0.0693,-0.1074,0.0004,-0.0046,-0.0008,-0.02,0.0,-0.0367,-0.5567,-0.0004,0.0,0.0013,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,4220.0,4300.0,4160.0,4160.0,1439800,0.7579,-0.0303,-0.085,0.0038,0.0371,0.0,-0.1193,0.0021,0.0,-0.1184,-0.0945,-0.5074,-0.1065,-0.0926,0.0081,-0.1436,-0.1438,1.4,-0.0543,0.0,-0.0172,0.0,-0.0093,0.0911,-0.028,0.0559,-0.0016,0.105,-0.0821,0.0008,-0.015,0.0,-0.0086,0.3546,0.0,0.0025,0.1482,-0.9452,-0.0009,-0.0897,0.0062,-0.0858,-0.0021,-0.0884,-0.1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4270.0,4300.0,4190.0,4230.0,1249300,-0.0128,-0.0346,-0.0159,-0.0013,-0.0102,0.0072,-0.0016,0.0008,-0.0064,0.0802,-0.0181,-0.1983,0.0165,-0.0043,0.3773,-0.1995,0.0985,-0.0679,0.1637,-0.0021,-0.1978,0.0017,0.015,-0.1469,0.0528,-0.0472,0.1101,0.1034,-0.0485,0.0009,-0.0133,0.0021,-0.0055,0.1325,0.0047,-0.0004,-0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4250.0,4350.0,4220.0,4280.0,635000,0.0958,-0.0097,-0.0206,0.0214,0.0462,0.0,0.0378,0.0,0.0,0.0126,0.0936,0.0645,-0.0144,-0.0066,-0.1337,-0.0005,0.508,-0.4261,0.0429,0.0,0.0,0.0009,0.0017,-0.1052,-0.0609,0.1187,0.0833,-0.2137,-0.0051,0.0009,0.0021,0.0009,-0.0425,-0.3018,0.0,0.0,0.0047,0.0,0.0,0.0,0.0514,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0296,0.088,-0.009,0.0022,0.0428
2026-07-21,4250.0,4260.0,4190.0,4250.0,528400,-0.1136,-0.059,0.0,-0.0106,-0.0431,-0.0072,-0.0837,0.0,0.0,0.0127,0.1965,0.0522,-0.0915,0.0013,0.0,-0.1359,0.1809,0.536,0.0,0.0046,0.0,0.0008,0.1688,0.1347,-0.0004,0.0,-0.0427,0.0004,-0.003,0.0004,-0.0505,0.0,-0.2591,-0.2091,-0.0047,-0.0043,-0.046,0.0,0.0,0.0,0.0442,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,-0.1616,0.0,0.0,0.0,0.0017,-0.0094,0.0,0.0,0.0,0.0,0.0
2026-07-22,4170.0,4260.0,4130.0,4250.0,952900,-0.1127,-0.0009,0.0004,0.0083,0.041,0.0,0.069,-0.0321,0.0,-0.3008,0.2467,-0.2672,0.2099,0.0279,0.0,0.0073,0.5159,-0.252,0.0358,0.0,0.0,0.0008,0.0037,-0.0015,-0.0082,0.0042,0.0298,0.4266,-0.0327,0.0004,0.005,0.0,-0.2837,-0.3525,0.0,0.0,0.0432,0.0,-0.0542,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0162,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,4100.0,4220.0,4070.0,4140.0,2147600,0.5059,0.0455,0.0,-0.1081,0.0008,0.0,-0.0391,-0.0145,0.0,0.4048,-0.6359,-0.1387,1.2,0.0619,0.0029,0.158,0.3566,-1.1,0.9727,0.0537,0.0,-0.0091,0.0053,-0.0309,-0.0497,-2.0,0.0418,-0.0024,0.0008,0.0005,0.0146,0.0,-0.3334,0.718,0.0,0.0,0.2556,0.0,-0.0001,0.0,-0.0826,0.0,0.205,0.0,0.0,0.0004,0.0001,0.0,-0.4207,-0.0245,-0.0814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,4070.0,4140.0,4010.0,4100.0,1108000,-0.2448,0.009,0.004,0.0,-0.002,0.0,-0.3317,-0.0217,0.0,-0.0241,-0.5019,-0.2337,-0.0346,0.0219,0.0469,-0.0348,-0.2391,-0.5723,1.2,0.0319,-0.0024,0.0,0.006,0.1945,0.006,-0.034,-0.0604,0.0,-0.0004,0.0,0.0094,0.0,-0.0185,-0.4393,0.0,0.0045,0.1043,0.0421,0.0,0.0,-0.0977,0.0,0.0,0.0,0.0,0.0,-0.0082,0.0,-0.1943,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
