Date,Close,High,Low,Open,Volume,CP,XL,CC,YP,KK,AT,XC,AZ,IU,HP,PC,MG,YJ,PD,DR,XA,EP,KI,AG,SQ,TP,OD,QA,BQ,AK,NI,YU,ZP,YB,LG,RO,DH,GR,FZ,RF,IF,AR,RG,AO,LS,BK,AI,JB,CD,IH,GI,PO,SA
2026-07-13,65.0,72.0,59.0,60.0,268654000,-0.2195,0.1281,0.2452,-0.0406,0.0001,-0.0437,0.1257,0.0049,0.0,-0.0477,0.0,0.0436,0.0005,-0.0329,0.0471,-0.029,-0.0044,0.0325,-0.0113,-0.0297,0.0083,-0.004,0.0019,0.0086,-0.0322,-0.1702,-0.0004,-0.0068,-0.0008,0.0226,-0.0023,0.0148,-0.0106,0.0007,-0.0139,0.0008,0.0,0.0,0.0023,0.0,0.0022,0.0,-0.0,0.0099,0.0001,0.0,-0.0005,0.0008
2026-07-14,65.0,68.0,62.0,66.0,76859300,0.0298,-0.1145,0.2467,0.0145,-0.0015,-0.0085,-0.0874,-0.0155,0.0065,0.0084,-0.0003,-0.0536,-0.0004,-0.0106,0.002,-0.001,-0.0559,-0.0,0.0013,0.0026,0.0,0.0152,-0.0011,0.0189,-0.0379,0.0295,0.0087,0.0019,0.0121,-0.0075,0.0001,0.0017,-0.007,0.0,0.0124,0.0,0.0,-0.0094,0.0015,0.0003,-0.0021,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,64.0,70.0,64.0,66.0,53198100,-0.0392,0.1353,-0.5943,-0.0077,-0.0138,0.0079,0.0747,0.0134,0.026,0.007,0.0003,-0.0083,0.0,0.0541,-0.0031,0.0254,0.0847,-0.0335,0.0001,-0.0044,0.0032,-0.051,-0.0013,-0.0175,0.2715,-0.0278,0.0018,0.0066,-0.0161,0.0779,0.0028,0.0002,0.0204,0.0004,-0.0138,-0.0,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,64.0,65.0,63.0,65.0,10010400,0.0193,0.0473,-0.0342,-0.0393,0.0043,0.0,0.0348,0.0025,-0.0066,0.0,-0.0002,0.0,0.0032,-0.0371,0.0004,-0.0017,0.0388,0.0001,0.0013,0.0189,-0.005,0.0004,-0.0,0.0008,-0.0501,-0.0034,0.0092,0.0,0.0035,0.0001,-0.0008,0.0008,-0.001,-0.0,-0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,64.0,69.0,64.0,64.0,28633700,0.0111,-0.1205,0.0717,0.0464,0.0026,-0.0095,-0.0208,0.0157,-0.0068,-0.0066,0.0,-0.0003,-0.0033,0.0326,-0.0005,0.0014,-0.0461,0.0001,-0.0026,-0.01,0.0,0.0016,-0.0,0.005,-0.01,0.0471,0.0081,-0.0094,-0.0014,-0.0008,-0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,64.0,66.0,63.0,63.0,20395700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,64.0,65.0,62.0,64.0,14094900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,62.0,64.0,61.0,64.0,9887500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,63.0,69.0,62.0,62.0,56126400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,61.0,64.0,59.0,63.0,9886000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
