Date,Close,High,Low,Open,Volume,BK,NI,OD,SQ,YP,YU,HP,XC,LG,KK,XL,FS,AT,ZP,AK,DH,PD,BQ,AZ,KI,MG,GR,CC,DX,CP,RO,YB,TP,EP,MU,RB,QA,DR,AG,SH,XA,IF
2026-07-13,615.0,620.0,595.0,615.0,3718800,0.0,0.0072,0.0535,0.0019,0.1618,0.1623,-0.6015,0.2168,0.0001,0.004,0.3167,0.0,0.0003,0.0246,-0.3157,-0.0003,0.1709,0.0002,0.0001,0.001,0.0001,0.003,-0.1836,-0.0037,-0.0021,0.0024,0.001,0.0014,0.0006,0.0,0.0,0.0001,0.0061,0.0,0.0615,-0.0001,-0.0908
2026-07-14,610.0,620.0,610.0,615.0,2620100,0.0,0.0217,-0.0721,0.0184,-0.0168,0.0975,0.0274,-0.2671,0.0058,0.0066,-0.24,0.0,0.0002,0.0,-0.0904,0.0004,0.0099,-0.0542,0.0028,0.4061,0.0063,0.0468,0.2053,0.0,-0.065,0.0006,0.0002,0.0,-0.0123,0.0,0.0,0.0,0.0,0.0236,-0.0615,0.0,0.0
2026-07-15,615.0,615.0,605.0,610.0,1890300,0.0414,-0.0088,0.0117,0.0026,0.0911,0.0508,0.0106,0.0185,0.0,0.0233,-0.0156,0.0,0.0,0.0018,-0.2789,-0.0004,0.0282,0.0011,0.0001,0.0001,0.0,0.2134,-0.2065,0.0,0.0351,0.0001,-0.0138,0.0,0.0043,0.0012,0.0002,-0.0001,0.0018,-0.0133,0.0,0.0,0.0
2026-07-16,610.0,615.0,600.0,615.0,3120100,-0.0105,-0.0035,-0.181,0.4189,0.1327,0.0508,-0.004,0.0769,0.0242,0.0065,0.2937,0.0,0.0,0.0441,-0.6522,0.0166,0.008,0.0009,-0.1572,0.1287,0.0605,0.0003,-0.2226,0.0003,0.0121,0.0004,-0.0006,-0.0388,-0.0041,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,610.0,610.0,600.0,610.0,2297700,0.0048,0.0017,0.0054,0.0327,0.0919,0.0684,0.0606,-0.0246,-0.1977,0.0173,0.0971,0.0157,-0.0006,-0.0002,-0.3344,0.0018,0.0165,0.0052,0.0006,0.2403,0.0005,-0.015,-0.0752,0.0001,-0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,620.0,685.0,600.0,610.0,52175400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,645.0,650.0,610.0,625.0,18595700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,635.0,655.0,625.0,650.0,11093700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,680.0,705.0,635.0,645.0,35440800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,655.0,695.0,650.0,685.0,13453500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
