Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,MG,QA,AZ,BQ,CP,CC,AT,FZ,AK,OD,XL,YP,GI,PD,DR,SQ,XC,LG,KK,PC,ZP,EP,YB,NI,AO,DH
2026-07-13,322.0,328.0,312.0,322.0,62400,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0,-800.0,0.0,0.0003,0.0003,0.0,0.0,0.0,-0.0002,-0.0011,0.0003,0.0,-0.0054,0.0,0.0,0.001,0.0,-0.0001,0.0,0.0,-0.0008,0.0,0.008,0.0,-0.0024
2026-07-14,324.0,330.0,320.0,322.0,237500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0,0.0,0.0,0.0498,0.0005,0.0,0.0,0.0,0.0,-0.0449,-0.0023,0.0,0.0,0.0,0.0,-0.0022,0.0,0.0009,0.0,-0.0019,0.0,-0.0006,-0.0008,0.0033,-0.0016
2026-07-15,330.0,330.0,322.0,324.0,298000,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0001,0.0,0.0,0.011,-0.0006,0.0,0.0,0.0,0.0,-0.0095,-0.0072,0.0,-0.0655,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0
2026-07-16,334.0,368.0,330.0,338.0,537500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0,0.0055,0.0056,0.0237,0.0261,0.0067,0.0,0.0061,-0.009,-0.0002,0.0263,0.0,-0.1074,0.0,0.0005,-0.0044,-0.0007,-0.0002,-0.0002,-0.0014,-0.0015,-0.0,0.0247,0.0,0.0
2026-07-17,336.0,342.0,330.0,340.0,59000,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0007,-0.0002,0.0008,0.0049,-0.0055,-0.0034,0.0067,0.0001,0.0024,-0.0,0.0007,-0.007,-0.0003,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,342.0,348.0,330.0,338.0,258300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,350.0,352.0,340.0,348.0,143500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,342.0,350.0,342.0,350.0,280800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,348.0,352.0,340.0,344.0,399000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,348.0,350.0,338.0,348.0,106900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
