Date,Close,High,Low,Open,Volume,MG,XC,KK,NI,BQ,EP,XL,YP,CC,SF,CP,OD,PD
2026-07-13,488.0,530.0,474.0,530.0,59000,0.0006,0.0158,0.0,0.0,-0.0087,0.0,-0.0091,-0.0012,-0.0006,0.0,0.0,0.0,0.0032
2026-07-14,496.0,510.0,486.0,486.0,38800,0.0022,0.0105,0.0,0.0003,-0.0012,0.0,-0.0077,-0.0,-0.0018,0.0,-0.0005,0.0,-0.0018
2026-07-15,490.0,498.0,488.0,496.0,15800,0.0,0.0006,0.0001,0.0,0.0,0.0,0.0057,0.0,-0.0015,0.0,-0.0051,0.0,0.0001
2026-07-16,488.0,490.0,462.0,490.0,62100,0.0005,0.0057,0.0,0.0,-0.0001,0.0,0.0086,-0.0,-0.0,0.0012,-0.016,0.0,0.0001
2026-07-17,492.0,498.0,488.0,488.0,9800,-0.0023,-0.0,0.0,0.0002,-0.0,-0.0,0.0024,-0.0,-0.0002,0.0,0.0,0.0,0.0
2026-07-20,490.0,492.0,490.0,492.0,7500,,,,,,,,,,,,,
2026-07-21,490.0,490.0,480.0,490.0,343400,,,,,,,,,,,,,
2026-07-22,482.0,490.0,482.0,490.0,2000,,,,,,,,,,,,,
2026-07-23,494.0,498.0,482.0,482.0,700,,,,,,,,,,,,,
2026-07-24,470.0,490.0,470.0,490.0,400,,,,,,,,,,,,,
