Date,Close,High,Low,Open,Volume,AI,EP,NI,AH,PD,BQ,YP,XC,CC,XL,OD,KI,ZP,RO,IH,AZ,SQ,FS,TP,QA,MG,AG,CP
2026-07-13,464.0,472.0,462.0,466.0,4500,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0007,0.0001,0.0001,-0.0002,0.0,0.0,0.0001,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,474.0,474.0,464.0,464.0,1500,-0.0006,0.0,0.0005,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,476.0,476.0,472.0,472.0,6600,-0.0007,0.0,0.0019,0.0,0.0001,0.0,0.0,-0.0,-0.0,0.0008,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,474.0,474.0,472.0,474.0,3400,-0.0007,0.0,0.0,0.0,0.0001,0.0,-0.0005,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,500.0,500.0,474.0,474.0,14600,-0.0,-0.0001,0.0002,-0.0001,0.0002,-0.0004,0.0019,0.0001,0.0001,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,488.0,505.0,462.0,500.0,24300,0.0,-0.0003,0.0011,-0.0004,-0.0001,0.0,0.0003,-0.0004,-0.0005,0.0029,0.0001,0.0,-0.001,0.0,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0,0.0,0.0
2026-07-21,488.0,488.0,480.0,488.0,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0005,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0,0.0,0.0,0.0,0.0,-0.0
2026-07-22,500.0,505.0,486.0,500.0,57300,0.0,0.0,0.0,-0.0101,-0.0022,0.0,-0.0015,-0.0,-0.0007,0.0164,-0.0001,0.0,-0.0005,0.0,0.0,0.0,0.0,-0.0005,-0.0005,-0.0003,0.0,0.0,0.0
2026-07-23,496.0,510.0,488.0,500.0,14600,0.0,0.0,0.001,-0.0007,-0.0005,0.0,0.0007,-0.0001,0.0014,-0.0022,0.0001,0.0,-0.0,0.0,0.0,0.0,0.0002,-0.0,-0.0,0.0,0.0,0.0,0.0
2026-07-24,470.0,510.0,460.0,496.0,22200,0.0,0.0,0.0,-0.0003,-0.001,0.0,0.0006,0.0,-0.0001,-0.0013,0.0,0.0,0.0,0.0,0.0009,0.0002,0.001,0.0,0.0,0.0,0.0,0.0,0.0
