Date,Close,High,Low,Open,Volume,OD,PD,GR,XL,EP,AZ,QA,CC,IF,YP,XC,DR,XA,ZP,SQ,NI
2026-07-13,685.0,685.0,660.0,685.0,37200,0.0003,0.0014,0.0,-0.0146,0.0,0.0,0.0,0.0103,0.0,-0.0015,0.0001,0.0,0.0,0.0,0.0,0.0041
2026-07-14,695.0,700.0,670.0,685.0,527500,-0.0006,0.009,0.0,-0.0025,-0.0,0.0134,0.0,-0.1866,-0.0035,-0.0849,-0.0144,0.2767,0.0068,-0.0099,-0.0036,0.0
2026-07-15,690.0,700.0,675.0,695.0,79800,0.0,0.0223,0.0,-0.0014,0.0003,0.0179,0.0001,0.0027,-0.0081,-0.0343,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-16,685.0,685.0,675.0,675.0,14900,-0.0014,0.0,-0.0007,-0.0058,-0.0003,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,685.0,685.0,685.0,685.0,900,-0.0006,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,685.0,700.0,685.0,700.0,6000,,,,,,,,,,,,,,,,
2026-07-21,680.0,700.0,680.0,695.0,54500,,,,,,,,,,,,,,,,
2026-07-22,685.0,700.0,670.0,690.0,80400,,,,,,,,,,,,,,,,
2026-07-23,695.0,700.0,685.0,685.0,15600,,,,,,,,,,,,,,,,
2026-07-24,690.0,695.0,675.0,695.0,7300,,,,,,,,,,,,,,,,
