Date,Close,High,Low,Open,Volume,KI,EP,YP,DR,SQ,OD,NI,XC,CP,AT,KK,PD,XL,CC,YU,AZ,BQ
2026-07-13,2410.0,2450.0,2370.0,2400.0,7200,0.0,0.0002,0.0014,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0101,0.0055,0.0029,0.0,0.0
2026-07-14,2420.0,2520.0,2370.0,2410.0,6500,0.0,0.0002,-0.0,0.0002,0.0,0.0024,0.0007,0.001,0.0,0.0,0.0,0.0,0.0021,-0.0067,0.0,0.0,0.0
2026-07-15,2370.0,2580.0,2330.0,2360.0,10400,-0.0002,0.0002,-0.0012,0.0002,0.0002,0.0002,0.0012,-0.0043,0.0,-0.0,0.0,0.0,-0.0052,0.0116,-0.0029,0.0,0.0
2026-07-16,2680.0,2950.0,2360.0,2440.0,41500,0.0,0.0002,-0.0033,-0.0008,-0.0002,-0.001,-0.002,-0.0011,0.0504,0.0,-0.0435,0.0,-0.0088,0.01,0.0,0.0,0.0
2026-07-17,2490.0,2800.0,2420.0,2800.0,116500,0.0003,0.0007,0.0,0.0005,0.0005,0.0005,0.0127,0.0115,-0.0481,0.0,-0.0057,0.0106,0.0391,-0.0227,0.0,0.0,0.0
2026-07-20,2490.0,2600.0,2450.0,2550.0,8700,0.0003,0.0,0.0025,-0.0003,0.0005,0.0042,0.0,0.0005,0.0,0.0,0.0,-0.0003,-0.0048,-0.0027,0.0,0.0,0.0
2026-07-21,2500.0,2740.0,2480.0,2500.0,44800,-0.0003,-0.0003,0.0022,0.0002,-0.0005,-0.0003,-0.0052,0.0016,0.0,0.0002,-0.0003,-0.0055,0.0144,-0.0065,0.0,0.0,0.0
2026-07-22,2510.0,2790.0,2450.0,2660.0,38400,-0.0,-0.0,-0.0008,-0.0,-0.0003,0.0008,-0.0037,0.0072,0.0014,0.0,0.0,0.005,0.0022,-0.0136,0.0,0.0,0.0019
2026-07-23,2520.0,2540.0,2470.0,2470.0,5200,-0.0,0.0,0.0003,0.0,-0.0003,0.0,0.0015,0.001,0.0,0.0,0.0,-0.0048,0.0038,-0.0015,0.0,0.0,0.0
2026-07-24,2500.0,2510.0,2460.0,2460.0,1200,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,-0.0002,-0.0017,0.0015,0.0,0.0005,0.0
