Date,Close,High,Low,Open,Volume,XC,QA,SQ,EL,LG,AZ,XA,KK,CP,ZP,AK,AI,OD,BK,XL,YP,CC,YB,CD,NI,BQ,IU,AO,HP,HD,PD,DR,IH,PC,PF,KI,EP,AG,SH,DH,MG,TP,GR,BR,DU,AT,YJ,ZR,FZ,TF,IF,RO
2026-07-13,408.0,414.0,390.0,410.0,7225100,-0.0778,0.0,0.0226,0.0042,0.0515,0.056,0.0445,0.0217,-0.3183,-0.1346,0.2467,0.0,-0.0015,0.0226,-0.288,-0.0151,0.2455,-0.0287,0.0,-0.0567,0.375,-0.3571,-0.0089,0.0,-0.0021,-0.016,-0.0,0.0408,0.0407,0.1019,0.0,-0.001,0.0,-0.0001,0.0,-0.0103,0.0001,0.0008,0.0,0.0408,0.0,-0.0002,0.0002,-0.0002,-0.0012,0.0008,0.0012
2026-07-14,452.0,454.0,406.0,408.0,38051400,-0.1039,0.0,-0.0473,0.2844,0.7824,2.9,0.1317,0.0,0.2042,-0.0989,-0.396,0.0045,-0.2106,-0.0208,-0.6059,-0.2613,0.0276,-0.0022,0.0,-0.0149,0.2591,-0.0057,-2.3,0.0027,-0.077,-0.1458,-0.0365,-0.0221,-0.1193,0.0492,0.0,-0.0726,0.0,-0.0237,-0.0109,-0.0323,-0.0864,-0.0043,0.0041,0.1296,0.0,-0.0087,-0.0487,0.0,0.0,0.0,0.0
2026-07-15,452.0,452.0,434.0,452.0,8373500,-0.0125,0.0,-0.033,0.1392,0.3359,-0.3144,0.0423,0.0019,-0.0115,0.0843,0.0327,-0.0045,-0.0141,-0.0351,-0.2333,-0.0309,0.004,-0.0171,0.0,-0.0003,-0.4392,0.0896,0.4921,-0.0004,-0.0149,-0.0549,-0.0005,0.0168,0.0155,0.0,-0.0022,-0.0003,-0.0316,0.0164,-0.0,-0.0158,-0.0159,-0.0051,0.0182,0.0,0.0001,0.0159,-0.0169,-0.0003,0.0,0.0,0.0
2026-07-16,448.0,456.0,446.0,452.0,8354400,-0.0166,0.0,-0.0131,0.0244,-0.0004,-0.162,-0.0465,-0.1312,0.0115,0.0451,0.0234,0.0,-0.0125,0.003,0.0133,0.0195,0.1028,-0.0005,0.0,-0.0032,0.1755,0.0363,0.0681,0.0,0.0059,-0.0357,0.0027,-0.0004,-0.0251,-0.0904,0.0009,0.0119,-0.0045,-0.0257,-0.0014,0.026,0.0251,0.0019,-0.0276,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,446.0,456.0,434.0,448.0,13708400,0.0069,0.0001,-0.0181,-0.002,0.029,-2.8,-0.0429,0.0031,-0.0135,-0.0486,0.2255,0.0,0.001,-0.002,-0.0448,-0.2466,0.3432,-0.001,-0.0084,0.0004,-0.0637,0.0319,2.6,-0.0013,-0.0009,-0.0037,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,434.0,452.0,428.0,446.0,21371300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,434.0,438.0,426.0,432.0,5791900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,428.0,434.0,420.0,434.0,16099900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,470.0,480.0,424.0,428.0,43863400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,468.0,472.0,452.0,470.0,8530200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
