Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,EP,XC,CP,SQ,DH,NI,LG,AO,BQ,HP,RO,KI,TP,DX,XA,QA,AT,GR,YP,CC,OD,KK,MG,GI,CD,AZ,RG,YB,DR,LS,AG,IF,PC,BK,TF,FZ
2026-07-13,119.0,120.0,117.0,119.0,3643200,-0.0,0.0181,-0.0138,0.0,0.0391,0.0086,0.083,0.0038,-0.0007,-0.0019,0.0006,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0055,-0.0086,-0.0099,0.0034,0.0003,-0.0019,0.0,0.0,0.0,0.0085,0.0,0.0967,0.0119,-0.2481,0.0,0.0054,0.0,0.0,0.0,0.0
2026-07-14,118.0,120.0,117.0,119.0,3196200,0.0002,0.0548,-0.022,0.0,0.0,0.0008,0.0,0.0001,-0.0005,0.0102,0.0234,0.0,0.0295,0.0006,0.0001,0.0,0.0,0.0,0.0196,0.0,0.0037,0.0216,0.0106,0.0451,0.0011,0.0132,0.0,0.0,0.0,0.0,0.0,-0.0029,0.0,-0.1821,-0.0294,0.0,0.0,0.002,0.0002,-0.0
2026-07-15,119.0,123.0,117.0,118.0,5014300,-0.0002,0.0249,-0.0095,0.0,0.024,0.0119,0.0357,-0.0061,-0.0766,-0.0,0.0003,0.0,-0.0039,0.0,-0.0,0.0002,0.0,0.0,-0.0061,0.0002,0.0,-0.0513,-0.1009,-0.0078,-0.0022,0.0009,-0.0003,0.0,0.0,-0.0,0.0,-0.0964,-0.0121,0.2989,-0.0236,-0.0,0.0,0.0,0.0,0.0
2026-07-16,118.0,120.0,117.0,119.0,1698100,0.0,0.0038,0.0149,0.0,-0.0,-0.0012,0.0,0.0049,-0.0292,0.0009,0.0,0.0,-0.0312,0.0,-0.0001,0.0001,0.0002,0.0,0.0,0.0005,0.0,-0.0,-0.0012,-0.0093,0.0047,0.0077,0.0295,-0.0,0.0024,-0.0006,0.003,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,118.0,120.0,118.0,118.0,1485800,0.0001,-0.0467,-0.001,0.0,-0.0002,0.0068,0.0446,0.0019,0.0,0.0,0.0001,0.0,0.0515,0.0024,-0.0002,-0.0,-0.0002,-0.0,0.0024,-0.0002,-0.0337,-0.0158,-0.0006,-0.0003,-0.0005,-0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,119.0,120.0,118.0,118.0,1027600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,122.0,124.0,119.0,119.0,3288500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,120.0,123.0,120.0,122.0,1247600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,121.0,125.0,120.0,121.0,4906400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,117.0,120.0,116.0,119.0,4486000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
