Date,Close,High,Low,Open,Volume,XC,YU,LG,IH,XA,AZ,AT,PI,AK,EP,YP,CC,SF,YB,NI,BQ,PD,II,QA,SQ,DU,YJ,KK,CP,ZP,KI,OD,DX,AG,XL,IN,FZ,MG,TP,RG,IF,AO,GR,BR,FS,SA,RO,DR,PC,DH,IU,EL,AI,BK,PG,HP
2026-07-13,85.0,85.0,82.0,84.0,20586700,0.0085,-0.0063,-0.0415,0.0,-0.0846,-0.0185,0.0017,-0.0224,0.0169,0.0006,-0.0195,-0.0614,0.0,-0.0303,0.0011,-0.0142,0.0303,0.0,0.0028,-0.0092,-0.038,0.0,-0.0009,-0.0059,-0.0084,0.0,0.0214,0.0,0.0,0.0174,-0.0406,0.0,-0.0034,0.0425,-0.0281,-0.0042,0.0,0.1465,0.2506,0.0,-0.0257,-0.0246,0.0,0.0,0.0,-0.0168,-0.0191,0.0,-0.0001,-0.0166,0.0
2026-07-14,86.0,88.0,84.0,86.0,56312200,0.0142,-0.0056,0.0044,0.0002,-0.0015,0.0097,-0.002,0.0133,-0.028,-0.0005,-0.0131,0.008,0.0001,-0.0894,0.0061,-0.0199,-0.0049,0.0,0.0012,0.0132,-0.0274,0.0086,0.0027,0.0556,-0.0072,0.0,-0.0479,0.0,0.0,0.0298,-0.0062,-0.0086,0.0082,-0.0336,-0.0318,-0.0013,0.0,-0.2213,0.3258,0.0,-0.0278,0.0005,0.0721,0.0002,0.0001,0.0001,0.0,0.0001,0.0,0.0038,0.0
2026-07-15,90.0,92.0,85.0,87.0,88047300,0.103,0.0274,0.0168,0.0023,0.0109,0.0353,0.0,0.0308,-0.0853,0.0755,0.0511,-0.0161,0.0328,-0.0747,-0.036,0.0666,-0.0044,0.0,0.0,0.0252,0.0248,0.0,-0.0161,0.0507,0.0255,-0.0093,-0.0413,0.0,-0.0,-0.2841,0.0122,-0.0001,-0.0022,-0.0002,0.0264,-0.0044,0.0049,0.22,-0.2108,0.0,0.0241,0.0245,-0.2032,0.0241,-0.0009,0.0345,0.0173,0.0,0.0,0.0159,0.0
2026-07-16,91.0,93.0,88.0,91.0,66049800,-0.1598,-0.0086,-0.0051,0.0282,0.0242,-0.0116,-0.0027,0.0013,-0.0006,-0.0061,-0.0942,-0.1176,-0.0057,0.0058,0.0136,-0.0271,-0.0124,0.0,-0.0007,-0.0961,0.0076,0.0,-0.0018,0.0058,0.0051,0.0002,0.0024,0.0046,0.0,-0.1934,0.0163,-0.0006,-0.0026,-0.0009,0.0075,-0.0004,0.0009,0.0233,0.433,0.0,0.0122,0.0036,0.206,-0.036,-0.0004,-0.0363,0.0114,-0.0009,-0.0005,0.0093,0.0
2026-07-17,89.0,99.0,89.0,94.0,98870800,0.0178,0.0341,0.0237,0.0103,0.0044,-0.039,0.0038,0.0033,-0.0022,-0.0511,0.107,0.0719,0.0291,0.0617,0.0313,0.0245,0.0467,0.0325,-0.0023,0.1193,-0.0244,-0.0114,0.0709,-0.1462,0.0066,-100.0,-0.0343,0.0063,-0.0001,-0.2317,-0.0485,-0.0019,0.0132,0.1914,-0.0156,0.0015,-0.002,0.7037,-0.7033,0.0106,-0.0346,0.0082,-0.2909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,89.0,90.0,87.0,89.0,31750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,90.0,92.0,87.0,89.0,54473800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,91.0,93.0,89.0,90.0,33617000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,92.0,93.0,91.0,92.0,50452600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,88.0,92.0,86.0,91.0,25563300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
