Date,Close,High,Low,Open,Volume,CP,GR,XL,CC,YP,PD,DR,EP,AO,KK,XC,SQ,BQ,NI,AZ,YB,HP,LG,RO,YJ,XA,AI,OD,QA,YU,PC,HD,ID,DH,MG,CD,IF,AT,LS,KI,TP,AK,ZP
2026-07-13,76.0,78.0,75.0,77.0,1974300,0.0004,0.0,-0.0004,0.0041,-0.0303,0.0012,0.0019,0.0,0.0,-0.0006,-0.0046,0.0,0.0043,-0.0,0.0198,0.0011,0.0017,0.0,-0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0008,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0
2026-07-14,77.0,90.0,75.0,77.0,42261800,0.0309,-0.0056,-0.1332,-0.0059,0.0812,0.0575,0.0003,-0.0074,0.0,0.0203,-0.0257,0.0007,-0.0187,-0.0003,-0.0222,-0.0015,0.0,0.0,-0.0002,-0.0081,0.0038,0.0,0.0279,-0.001,0.0002,0.0,-0.0018,0.0005,0.0057,0.0048,0.0,0.0013,-0.0007,0.0006,-0.0,-0.0026,-0.0004,-0.0001
2026-07-15,79.0,80.0,77.0,78.0,3514400,-0.0153,0.0,0.0388,0.0088,-0.0128,0.0018,-0.0016,0.0,0.0,-0.0518,0.0119,0.0,0.0118,0.0001,-0.0015,0.0146,-0.0018,0.0,-0.0,0.0,0.0,0.002,-0.0131,0.0038,0.0,0.0,0.0,0.0,0.0,0.0041,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,78.0,83.0,77.0,78.0,12066300,-0.0169,-0.001,-0.0014,0.0052,0.0087,0.0027,-0.0016,0.0029,0.001,0.0079,-0.0156,-0.0003,0.0017,0.0018,0.0,-0.0156,0.0084,-0.0001,0.0,0.0075,-0.0019,-0.002,-0.0089,0.0052,0.0122,-0.0,0.0024,-0.0005,-0.0017,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,77.0,79.0,77.0,78.0,1389600,-0.0031,0.0001,-0.0057,-0.0078,0.0109,-0.0036,-0.0,-0.0014,0.0,-0.0001,0.0063,-0.0,0.0071,-0.0011,0.0023,0.0035,-0.0084,0.0011,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,78.0,79.0,77.0,78.0,1091900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,78.0,79.0,77.0,78.0,1903500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,80.0,84.0,77.0,78.0,9850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,79.0,83.0,78.0,79.0,6070600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,77.0,79.0,77.0,79.0,1983700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
