Date,Close,High,Low,Open,Volume,CP,GR,PD,XL,CC,YP,XA,EP,KI,KK,ES,XC,LS,SQ,TP,OD,QA,BQ,AK,NI,RB,RO,MG,DR,DX,AZ,PO,LG,ZR,YJ,AD,AI,YB,HP,BK,RF,AT,ZP,PC,DH
2026-07-13,61.0,63.0,58.0,61.0,14405900,0.014,-0.0001,0.0025,-0.1094,-0.0578,-0.0045,-0.0002,0.0701,0.0,-0.001,0.0,-0.0002,0.0,-0.0033,-0.0,-0.0004,-0.0,0.0042,0.0032,0.0263,0.0551,0.009,-0.0002,-0.0002,0.0,0.0035,0.0,-0.0183,0.0,0.0,0.0,0.0,0.0107,0.0,0.007,0.0,-0.0012,0.0,0.0,-0.009
2026-07-14,60.0,62.0,59.0,61.0,6167800,-0.0177,0.0,0.0006,0.1411,0.0093,-0.0498,0.0,0.0,0.0,-0.0035,0.0,0.0045,0.0,-0.0006,0.0003,-0.0147,0.0,0.0014,0.0026,0.0162,-0.0818,-0.0086,0.0,0.003,0.0,0.0012,0.0,0.0,0.0,0.002,0.0,0.0,-0.012,-0.0,0.0063,0.0,-0.0001,0.0003,0.0,0.0
2026-07-15,59.0,64.0,59.0,60.0,25656600,-0.0212,0.0,-0.0313,0.0106,0.0068,-0.0012,0.0065,-0.0463,0.0,0.0024,0.0006,0.0183,0.0,0.0307,-0.0003,0.0029,0.0018,-0.0096,0.0108,-0.0533,0.0359,0.0007,-0.0013,-0.0026,0.0,0.0011,0.0,0.0034,0.0006,-0.0021,0.0004,0.0126,0.0003,-0.003,0.0073,0.0183,0.0,0.0,0.0,0.0
2026-07-16,59.0,60.0,58.0,60.0,4939700,-0.0018,0.0,-0.0164,0.0601,0.0002,0.0351,-0.0094,0.0,0.0,-0.0014,0.0,-0.0265,0.0,-0.0,0.0003,-0.0181,0.0009,0.0033,0.0086,-0.0,-0.0177,0.0,0.0,-0.0001,-0.003,-0.0111,0.0001,-0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,60.0,60.0,58.0,60.0,3916300,-0.0003,0.0,0.0154,-0.0195,-0.0103,-0.0026,-0.006,-0.0112,-0.0047,0.001,-0.0006,0.0063,0.0118,0.0071,-0.0003,-0.0,-0.0009,0.0162,0.0272,-0.0118,-0.0168,-0.0006,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,60.0,63.0,58.0,60.0,12163400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,60.0,62.0,59.0,60.0,8773400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,61.0,62.0,59.0,60.0,4184500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,60.0,63.0,60.0,61.0,11296000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,57.0,61.0,54.0,61.0,7649000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
