Date,Close,High,Low,Open,Volume,XL,PD,EP,XC,MG,CP,SQ,DH,AZ,MI,NI,BQ,LG,SS,YB,FZ,GR,YJ,YP,CC,DR,IU,AT,AR,TP,OD,KK,YU,PC,HP,AI,QA,IF,HD
2026-07-13,35.0,35.0,34.0,35.0,5032200,0.0129,-0.0042,0.0,-0.0091,-0.0525,-0.0144,0.0,0.0001,0.0003,0.0,-0.0001,0.0,0.0,0.0,0.0402,0.021,0.0,0.0,-0.0017,0.0065,0.0,0.0,-0.0001,0.0,0.0,0.0018,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,34.0,35.0,33.0,35.0,9580000,0.028,-0.112,-0.0608,0.0104,0.0542,-0.0186,0.0001,0.0,-0.0,0.0,-0.0001,0.0,0.0,0.0,0.0343,0.017,0.0,0.0,0.0073,0.0008,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0033
2026-07-15,33.0,34.0,33.0,34.0,6553500,-0.0695,-0.0036,-0.0309,-0.0096,0.0013,0.0001,0.0005,0.0,0.0034,0.0,-0.0003,0.0,0.0,0.0,-0.0063,-0.0002,0.0,0.0,-0.0012,0.0038,0.0018,0.0,0.0,0.0,0.0,-0.0035,-100.0,0.034,0.0217,0.0068,0.051,-0.0,0.0007,0.0
2026-07-16,33.0,33.0,33.0,33.0,3197300,0.0563,-0.0043,-0.0515,0.0005,0.0,0.0,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0,0.0,-0.0299,-0.0005,0.0,0.0008,0.0001,0.0165,0.0033,0.0017,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,32.0,32.0,32.0,32.0,3957100,0.0292,0.0008,-0.0273,0.0079,0.009,-0.0224,-0.0008,0.0006,0.0,0.0032,0.0161,0.0001,0.0002,0.0016,0.027,0.0096,-0.0514,-0.0026,-0.0021,-0.0018,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,32.0,32.0,31.0,31.0,4859300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,35.0,35.0,33.0,33.0,21501200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,38.0,38.0,35.0,35.0,26826300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,41.0,41.0,40.0,40.0,69799100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,37.0,38.0,37.0,38.0,48840100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
