Date,Close,High,Low,Open,Volume,XC,LG,PO,AZ,KK,CP,AG,EP,XL,YP,DH,CC,MG,TP,YB,NI,GR,PD,DR,SQ,RO,YJ,KI,OD,BQ,HP,HD,YU
2026-07-13,47.0,47.0,45.0,45.0,1063000,-0.0015,-0.0001,0.0,0.0,0.0009,-0.0018,0.0,0.0,0.0061,0.0009,0.0,0.0,0.0,0.0,0.0076,0.0,0.0,-0.0005,-0.0009,0.0,0.0,0.0,-0.0002,-0.0001,-0.0099,-0.0004,0.0,0.0
2026-07-14,51.0,51.0,48.0,48.0,17714600,-0.0082,-0.0004,0.0,0.0,-0.0138,-0.0275,0.0,-0.0003,0.4726,-0.1404,0.0,-0.2002,0.0256,0.0,0.0034,-0.0002,-0.0012,-0.0561,0.12,0.0155,0.0,-0.0928,0.0,-0.0008,0.0,-0.0004,-0.0947,-0.0001
2026-07-15,46.0,53.0,46.0,52.0,11159200,0.0073,0.0002,0.0,0.0046,0.0045,-0.0198,0.0,0.0001,0.0542,0.0073,0.0008,0.0014,0.008,0.0,-0.0217,-0.0002,0.0087,0.0002,0.0041,-0.0001,0.0,-0.0052,-0.0009,0.0006,0.001,-0.0004,-0.0547,0.0
2026-07-16,44.0,44.0,42.0,42.0,6238900,0.028,0.0,0.0,0.0,0.0106,0.0,0.0,0.0001,0.001,0.0087,0.0008,0.011,0.0041,0.0,0.0019,0.0071,-0.0424,-0.0335,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,41.0,41.0,41.0,41.0,8216700,0.0465,0.0,0.0,0.0033,-0.0324,0.0025,0.0,-0.0002,0.2005,0.0115,0.0021,0.0042,-0.0123,0.0003,0.0119,0.0046,-0.2481,0.0044,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,44.0,44.0,40.0,40.0,5388600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,42.0,43.0,42.0,43.0,3333300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,46.0,46.0,41.0,41.0,3657300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,44.0,48.0,44.0,47.0,4699600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,45.0,45.0,43.0,44.0,753400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
