Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,CC,OD,ID,YB,QA,DR,SQ,YP,YU,ZR,XC,LG,KK,XL,HP,AT,ZP,YJ,AI,EP,CD,DH,TP,AK,GA,BQ,PD,AZ,MG,MU,GR,HD,CP,PG,SS,ES,FS,PC,TF,AR,AO,IF,BR,KI,YO,DX,LS,IN,GI
2026-07-13,113.0,113.0,110.0,113.0,22882500,0.003,-0.208,0.0,-0.011,-0.0098,-0.0086,0.0,0.0015,0.0,-0.0007,0.0555,-0.035,0.001,0.0111,-0.0152,0.0082,-0.1491,0.144,0.0022,0.0026,-0.1268,0.0046,0.0003,0.0087,0.0207,0.0014,0.0,0.2592,0.0,0.01,0.0183,0.0003,0.0111,0.0,-0.0002,-0.0014,0.008,0.0,0.0,0.0,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,-0.0006,0.0,0.0,0.0,0.0
2026-07-14,114.0,115.0,112.0,113.0,38881600,-0.2662,0.0323,0.0,-0.0001,0.6398,-0.0102,0.0,0.1,0.0003,0.0008,-0.0707,-0.0786,0.0,-0.0226,-0.271,0.0102,-0.1005,0.0036,0.0,-0.0,-0.1859,0.0,0.0,-0.0296,-0.0458,0.0236,-0.0087,0.2474,0.0,0.0234,-0.0858,0.0023,0.0,0.0684,0.0285,0.0023,-0.0071,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0
2026-07-15,115.0,115.0,113.0,114.0,25319300,0.0284,0.012,-0.0015,-0.0001,0.0785,0.0045,0.0,-0.0309,-0.0012,0.0192,-0.0035,-0.1277,-0.0228,-0.0114,-0.0158,-0.0042,0.0902,0.1894,0.0,-0.0005,-0.3659,0.0,0.0,-0.0037,-0.0114,-0.0032,0.0,0.1319,0.0,0.0551,-0.1429,0.0002,0.0,0.0288,-0.0009,-0.0023,-0.0037,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0012,0.114,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,122.0,122.0,115.0,115.0,95389100,-0.065,1.1,0.0002,0.0,-0.1584,-0.0437,0.0,-0.1574,0.0,0.0043,-0.0912,0.0453,-0.1387,-0.0201,0.09,-0.0165,-0.093,0.2378,0.0001,0.0042,-0.2623,0.0,-0.0011,-0.0057,-0.0488,-0.065,-0.0113,-0.0078,0.0,-0.105,-0.0816,-0.0016,0.0,0.0,0.0488,0.0022,0.002,0.059,-0.0012,-0.002,-0.0001,-0.0002,0.0012,-0.122,-0.0538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,120.0,123.0,117.0,122.0,44853700,-0.0147,0.1072,0.0014,0.0024,-1.3,0.088,0.0595,-0.0482,-0.0,0.0186,0.0577,0.0006,-0.0,0.0238,0.2361,0.0849,0.0463,1.3,-0.0012,0.0098,-0.3704,-0.0005,0.022,0.2883,0.0241,0.0013,-0.0,-0.5523,0.0095,0.0735,-0.077,0.0017,0.0102,0.0002,0.0012,0.0018,-0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,120.0,121.0,118.0,120.0,34803500,0.0,-0.0088,0.0152,-0.0012,-0.1978,-0.0094,0.0,-0.0154,0.0,-0.0229,0.0956,0.0553,-0.0021,-0.012,-0.0835,0.0225,0.1383,0.1118,-0.0005,0.0098,0.1525,-0.0007,-0.0086,-0.0358,-0.0247,0.2635,-0.001,-0.5333,0.0,0.1387,0.0127,0.0006,-0.0012,-0.1012,0.0008,-0.0031,-0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0602,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0
2026-07-21,123.0,123.0,120.0,120.0,49213600,0.0167,-0.036,-0.0149,-0.0007,0.5514,-0.0079,0.061,0.0001,0.0,0.0307,-0.1255,-0.0259,0.1227,0.012,0.0382,0.0185,0.3346,0.2837,0.0,-0.0042,-0.0819,-0.001,-0.0005,-0.5853,-0.0734,0.0003,0.0015,-0.3289,0.0,-0.185,0.0122,-0.0598,0.0,-0.0,0.0065,-0.0,0.0446,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0004,0.0,-0.0001,-0.0004,0.0,-0.0036,0.0,200.0,0.0
2026-07-22,121.0,124.0,118.0,124.0,43690600,-0.0954,0.0179,-0.0004,-0.0019,-0.0192,-0.0106,0.0,0.0519,0.0,0.0046,-0.5069,-0.2938,0.0001,0.0179,0.0667,-0.0238,0.1477,0.2418,0.0,-0.0146,0.0155,-0.0006,0.0013,0.0466,0.072,0.0069,-0.0019,-0.0394,0.0,0.0263,0.0947,0.0039,0.0203,0.0,0.0921,0.0001,0.0516,0.0,0.0,0.0,0.0,-0.0012,0.0,0.0,-0.0244,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0
2026-07-23,121.0,124.0,119.0,121.0,40259600,0.0031,-0.258,0.0021,0.0001,0.4622,0.0041,0.0,0.017,0.0001,0.6507,0.3321,-0.0044,-0.121,0.0,-0.002,0.0,-0.0986,-0.7539,0.0,0.0225,-0.0076,0.0,-0.1208,0.0348,0.0117,-0.2385,-0.0,0.4078,0.0,-0.0151,-0.0515,-0.2432,0.0,0.0,-0.0238,-0.0008,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0182,-0.0013,0.0,0.0,0.0,0.0,0.0037,0.0,0.0
2026-07-24,115.0,120.0,115.0,120.0,44304600,-0.0045,0.2877,-0.0016,-0.0004,-0.3674,0.0095,0.0,-0.0253,0.0,-0.5921,-0.0145,0.1282,0.001,0.0118,0.0182,0.0031,0.2387,0.3034,-0.0,-0.0246,-0.2932,0.0,0.0023,0.0991,0.0492,-0.0013,0.0026,-0.2242,0.0,0.0328,0.0881,0.0585,0.0,0.0,0.0434,-0.0,0.1516,0.0,0.0012,0.0,0.0106,0.0003,0.0,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
