Date,Close,High,Low,Open,Volume,QA,MG,AK,EP,KI,XA,OD,AD,CP,BK,CC,YP,DR,RO,SQ,NI,AZ,IU,XC,BQ,AT,KK,PD,XL,TP,AO,YB,DH,YJ,SF,GR,AI,YU,IN,LG,ZP,HP,AG,MU,HD,AH,IF,CD,DX,RB,LS,BR,DU,PI,BS
2026-07-13,555.0,555.0,410.0,446.0,4538500,0.0,0.0,0.0,-0.0231,0.0,0.0175,-0.0151,0.0,-0.3199,-0.0056,-0.1275,-0.2311,0.0,0.0,-0.0037,-0.008,-0.0156,0.0,-0.0624,-0.0004,-0.0017,-0.0139,-0.2975,-1.2,0.0578,1.0,0.0024,-0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0011,-0.0001,-0.0056,1.3,-0.0002,-0.0005,0.0
2026-07-14,600.0,690.0,560.0,615.0,32258700,-0.0056,-1.1,0.0,-0.056,0.0002,-0.3073,-0.1377,-0.0501,-0.0421,-0.0011,-0.9923,-0.5887,-0.001,0.0002,0.0323,-0.2504,0.0133,0.0,-0.0917,0.0007,0.0156,0.0624,0.0293,-0.3718,0.164,13.8,-0.062,-0.0058,0.0,0.0,-0.0705,0.0,-0.0018,0.0,-0.0269,0.0006,0.0014,0.0062,0.0002,-0.0014,-0.0003,-9.9,-0.0167,0.0003,-0.0218,-0.0067,0.0,0.0,0.0,0.0
2026-07-15,620.0,630.0,565.0,600.0,2541400,0.0041,0.1469,0.0,-0.0089,0.0,-0.0062,-0.0047,0.0,-0.0848,-0.0142,0.2544,-0.0092,0.0,-0.0001,-0.0489,-0.0083,0.0,0.0,0.0172,0.0098,-0.0002,-0.0157,-0.0099,-0.2212,0.0008,0.0003,-0.0006,-0.0126,0.0,0.0,-0.0064,0.0,0.0,0.0,0.0185,-0.0007,0.0008,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,560.0,610.0,540.0,600.0,5071200,0.0009,0.1712,0.0004,0.0061,0.0005,0.0271,0.0123,0.0,0.0551,-0.0154,0.1352,0.0736,0.0695,0.0005,-0.0006,0.0293,-0.4604,0.0003,0.104,0.015,0.0121,0.0981,0.0154,0.9896,0.0644,0.0,0.0161,0.0099,-0.0001,0.0063,-0.0533,0.0001,-0.1078,-0.0637,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,560.0,565.0,510.0,560.0,2038700,-0.0265,0.2155,0.1943,0.0006,-0.0001,0.001,0.0002,-0.0,0.0198,-0.006,0.1095,-0.0096,0.0143,0.0006,0.0005,0.0044,0.0002,0.0022,0.0012,0.0011,-0.0001,0.0105,-0.5494,0.0294,-0.0131,-0.0003,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,580.0,585.0,550.0,580.0,2295600,0.0008,-0.0621,-0.0556,-0.0624,-0.0005,-0.0009,-0.0235,0.0,0.0372,-0.0002,-0.1107,0.0692,-0.0001,0.0,-0.0041,0.0085,0.0234,-0.0025,-0.0149,-0.0027,0.0028,0.0524,0.0416,0.0381,0.0,0.0,0.0,-0.053,0.0,0.0,0.0681,0.0,0.0197,0.0,0.0025,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0298,0.0,0.0,0.0
2026-07-21,575.0,590.0,555.0,580.0,1749500,0.0005,0.0137,-0.0285,-0.0932,0.0,-0.1355,0.0001,0.0,0.0151,0.0,-0.0022,0.0297,0.0,0.0,0.0012,-0.0181,0.0008,0.0,-0.0055,0.0,-0.0027,-0.0203,0.0492,0.2526,0.0,-0.0044,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031,0.0,0.0,-0.0294,0.0,0.0,0.0
2026-07-22,565.0,580.0,550.0,565.0,1035800,0.0017,-0.0029,-0.0043,-0.0147,0.0,-0.0619,-0.0014,0.0,-0.0383,0.0,-0.0149,0.0341,0.0,0.0,0.0058,0.0001,0.0014,0.0,0.0045,-0.0001,0.0,-0.0129,-0.0008,0.0948,0.0,0.0,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
2026-07-23,580.0,590.0,560.0,570.0,3002600,0.0012,-0.052,0.2251,-0.1892,0.0,-0.1355,0.0012,0.0,0.0028,0.0,0.2435,0.204,0.002,-0.0002,-0.0016,0.0614,0.0,0.0,-0.0548,0.0002,0.0011,0.0015,-0.052,-0.119,0.0,0.0,0.0115,-0.0728,0.0,-0.0821,0.0038,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,545.0,580.0,545.0,580.0,1069500,0.0,-0.0148,-0.0095,0.0142,-0.0003,0.0215,0.0,0.0,0.0033,0.0,-0.1277,0.0108,0.0,0.0,-0.0002,0.0011,-0.0522,0.0,0.02,0.0005,-0.0252,-0.0013,0.002,0.1701,0.0,0.0,-0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001
